Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
1/2-SBSRNA4,0.15,0.51,0.58,0.22,0.79,0.1,0.93,0.35,0.11,0.07,0,0.23,0.28,0.28,0,0.1,0.62,0.11,0.23,0.51
A1BG,1456.93,1211,261.86,124.6,131.95,233.7,240.85,77.04,1365.94,812.34,531.6,432.49,1156.5,375.97,602.63,66.72,1005.5,755.77,1007.24,415.02
A1BG-AS1,0.26,0.04,0.12,0.08,0.7,0.1,1.42,0.18,0.3,0.28,0.29,0.44,0.11,0.11,0.3,0.17,0.88,0.25,0.22,1.19
A1CF,30.59,31.23,20.97,33.74,19.37,25.57,10.73,24.66,18.45,39.93,16.89,14.21,6.7,14.39,17.06,35.24,13.46,22.6,15.12,14.75
A2LD1,1.57,17.51,2.25,2.76,2.14,1.09,1.92,2.3,2.59,4.96,3.16,2.83,1.78,2.06,1.4,3.07,2.23,1.83,1.95,2.22
A2M,795.84,105.57,1504.57,127.49,1530.92,862.53,734.31,1112.53,1207.93,993.82,775.17,337.47,920.5,282.82,2353.95,725.05,1295.51,1153.76,1042.4,727.62
A2ML1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0
A2MP1,0.04,0.08,0.24,0,0.04,0,0.1,0.12,0.03,0,0.1,0.09,0,0,0.31,0.04,0.19,0.08,0.04,0.14
A4GALT,0.95,2.42,0.13,0.32,0.36,0.29,3.46,0.37,1.03,1.83,0.27,1.5,0.17,0.27,0.33,0.35,3,0.75,1.27,5.05
A4GNT,0.02,0,0.15,0,0.43,0,0.55,0,0,0,0.03,0,0,0.02,0,0,0.93,0,0.21,0.03
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA1,0.01,0,0,0,0.01,0.31,0,0,0,0,0,0,0,0.11,0,1.18,0,0.02,0,0.11
AAAS,11.76,17.28,6.64,14.39,10.67,6.5,13.56,16.51,11.05,13.45,12.88,16.46,10.26,23.65,10.8,21.45,14.98,16.06,12.11,21.41
AACS,1.42,0.66,0.44,0.46,3.12,2.03,4.35,4.05,1.51,1.25,2.02,1.65,0.92,10.14,1.14,4.29,3.04,3.88,2.01,5.03
AACSP1,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
AADAC,245.89,84.51,464.41,1128.48,410.13,729.79,178.85,671.1,239.01,238.03,226.28,283.33,241.66,158.78,348.69,365.36,285.47,476.97,180.23,171.5
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
AADAT,12.3,15.68,16.21,5.03,7.36,4.24,5.58,3.07,9.28,11.07,21.16,5.71,11.41,1.1,15.45,4.07,10.2,4.49,23.9,2.99
AAGAB,4.77,9.66,7.44,11.05,15.71,16.54,12.64,15.81,7.16,8.36,4.68,10.82,3.87,21.22,5.92,15.9,8.67,13.68,6.21,10.72
AAK1,0.56,0.89,0.29,0.95,0.92,1.24,1.23,0.6,0.48,0.88,0.37,0.6,0.24,0.58,0.69,0.72,0.7,0.73,0.4,1.16
AAMP,46.24,51.6,20.15,31.1,26.17,20.67,38.73,36.12,34.26,35.32,47.86,42.67,46.27,67.18,21.61,53.36,50.7,57.3,52.3,80.32
AANAT,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,24.94,46.65,16.99,34.47,22.33,37.55,24.05,53.06,24.12,27.47,22.07,42.78,26.86,38.64,18.04,71.81,25.5,85.7,28.78,45.79
AARS2,2.39,5.64,0.9,2.54,1.39,0.81,2.35,2.35,2.24,3.08,1.57,2.33,1.43,3.64,2.17,3.94,2.8,4.3,2.05,3.78
AARSD1,8.81,11.21,6.31,7.97,8.84,6.72,11.39,11.22,6.92,5.54,9.8,12.23,9.38,20.09,6.28,14.32,10.45,11.41,7.81,13.46
AASDH,1.94,2.54,2.62,3.23,3.24,4.25,3.59,3.53,1.7,2.54,1.66,3.28,0.85,2.08,2.08,1.57,2.17,3.04,1.93,2.61
AASDHPPT,10.13,13.61,9.4,11.44,15.36,9.37,13.86,14.78,7.62,8.33,7.62,7.66,3.12,10.91,4.75,10.28,9.52,26.2,8.24,9.7
AASS,14.66,22.54,8.46,19.57,5.33,2.12,7.06,3.12,7.26,13,12.11,3.97,5.95,8.82,13.15,11.75,6.4,10.24,19.81,5.49
AATF,12.16,16.05,7.49,17.26,16.21,17.08,16.69,28.25,10.85,13.83,8.89,17.56,9.21,35.74,7.64,33.58,12.14,36.09,10.2,21.71
AATK,0.3,0.12,0,0.03,0.08,0.03,0.3,0.06,0.37,0.39,0.19,0.11,0.12,0.08,0.06,0,0.46,0.09,0.07,0.26
AATK-AS1,0,0,0,0,0,0.06,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0
ABAT,134.96,163.32,105.17,155.09,48.57,68.58,38.26,26.84,93.31,126.26,89.06,85.82,71.85,100.66,104.23,104.81,55.07,119.81,128.98,41.02
ABCA1,11.53,8.66,10,7.21,13,12.07,6.9,12.48,7.47,7.62,4.5,8.22,1.6,4.65,4.51,3.13,6.67,6.58,5.91,5.88
ABCA10,1.22,0.48,0.96,0.13,1.05,0.48,2.21,0.06,0.26,0.21,0.25,0.95,0.11,0.11,1.23,0.13,0.94,0.31,0.36,0.47
ABCA11P,1.08,1.45,1.12,1.38,1.64,1.7,2.7,1.44,1.29,1.88,1.05,1.83,0.97,2.2,1.05,0.8,2.25,2.33,1.44,2.82
ABCA12,0.03,0,0,0,0.03,0,0,0,0.04,0.02,0,0,0,0,0,0.01,0,0,0.02,0.04
ABCA13,0.14,0.03,0.05,0,0.02,0.01,0,0.01,0.08,0.2,0.02,0.02,0.03,0.01,0.06,0.01,0.03,0.14,0.01,0.01
ABCA17P,0.01,0.05,0,0,0.02,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0.01,0.01,0.02
ABCA2,2.95,6.11,0.38,0.69,1.3,0.76,3.37,0.63,5.65,15.11,1.61,2.43,1.76,2.56,2.41,1.7,5.92,6.31,5.27,6.18
ABCA3,0.33,0.32,0.09,0.05,0.34,0.07,1.17,0.22,0.73,0.4,0.1,0.33,0.14,0.17,0.08,0.07,0.75,0.48,0.73,1.8
ABCA4,0.15,0.29,0.07,0.1,0.09,0.1,0.09,0.07,0.18,0.31,0.08,0.53,0.12,3.13,0.3,0.55,0.07,0.22,0.18,0.25
ABCA5,7.04,9.67,4.8,3.71,5.09,9.21,4.25,2.36,3.62,7.07,3.8,3.55,1.31,4.03,3.84,7.96,2.89,4.81,6.18,4.05
ABCA6,29.97,20.83,17.35,40.89,9.05,7.41,12.47,17.27,23.52,29.1,16.47,20.42,9.97,7.48,18.49,34.15,18.43,46.24,20.16,11.18
ABCA7,0.46,0.61,0.1,0.09,0.15,0.15,1.95,0.11,0.66,1.99,0.53,0.61,0.3,0.34,0.36,0.76,1.74,2.81,0.52,1.43
ABCA8,8.93,5.47,7.7,4.1,8.44,4.86,9.78,14.73,7.49,11.34,7,6.5,4.5,3.25,12.87,10.47,10.39,5.76,5.92,3.65
ABCA9,3.56,2.19,2.54,1.22,1.87,1.13,2.53,0.55,2.13,1.96,2.5,1.69,0.75,0.33,2.26,1.74,2.13,1.53,2.47,1.72
ABCB1,5.3,15.51,8.9,1.46,22.24,9.2,17.99,21.87,20.2,37.85,6.82,20.28,4.7,64.76,14.85,32.84,16.65,27.05,12.88,19.39
ABCB10,4.13,16.89,5.75,13.04,9.66,18.34,8.36,12.39,5.5,7.33,3.12,6.74,2.14,7.3,2.74,6.57,5.2,11.97,4.35,7.42
ABCB11,15.72,29.24,4.63,24.67,4.57,13.01,3.3,6.42,8.17,24.42,2.3,3.76,1.51,1.18,5.12,14.68,5.29,13.65,10.84,12.63
ABCB4,21.07,74.23,39.91,33.03,43.16,71.07,21.3,9.05,66.46,69.13,30.18,44.91,25.92,8.94,31.18,20.38,49.55,42.72,62.12,34.03
ABCB5,0.11,0.3,0.09,0.04,0.06,0.06,0.05,0.06,0.18,0.07,0.03,0.09,0.11,0.11,0.05,0.13,0.06,0.05,0.06,0.37
ABCB6,5.43,9.53,3.04,17.27,4.29,9.09,4.85,23.11,9.99,8.35,8.65,8.36,6.49,40.17,6.74,29.16,6.29,9.92,6.23,12.27
ABCB7,7.22,14.16,7.49,13.14,11.7,8.88,8.47,9.42,7.94,10.91,6.67,7.3,5.95,16.96,8.98,12.27,8.17,9.25,7.86,9.99
ABCB8,3.33,9.86,0.67,2.14,0.8,1.33,2.14,1.5,6.88,9.45,2.87,2.46,4.66,3.19,1.8,6.3,5.29,7.82,4.73,4.45
ABCB9,0.25,0.12,0.22,0.19,0.24,0.07,0.53,0.31,0.32,0.78,0.02,0.21,0.3,1.67,0.28,1.5,0.63,0.32,0.42,0.9
ABCC1,1.44,1.14,0.45,0.15,2.36,0.58,4.62,1.11,1,0.98,0.49,1.16,0.52,5.18,0.66,0.7,2.34,0.43,0.84,4.05
ABCC10,1.02,3.85,0.16,0.57,0.45,0.31,1.3,0.68,0.99,1.07,0.34,0.79,0.48,0.55,0.45,1.23,1.36,1.79,0.78,2.58
ABCC11,0.56,0.95,0.39,0.82,0.22,0.31,0.06,0.49,0.59,1.48,0.59,0.81,0.47,0.18,0.51,2.28,1.01,0.64,0.66,0.44
ABCC12,0,0,0,0,0,0.01,0,0.01,0.01,0,0.02,0,0,0,0,0,0,0,0.01,0
ABCC13,0,0,0,0,0.01,0,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0.02
ABCC2,39.7,60.65,10.46,80.11,13.33,34.16,10.14,81.78,35.65,49.62,26.76,31.97,10.3,99.25,20.86,45.71,18.47,32.39,22.65,33.41
ABCC3,19.78,49.34,13,8.77,21.31,25.29,15.36,7.4,32.24,31.38,24,39.48,16.54,54.9,18.43,21.78,19.03,11.49,32.29,31.52
ABCC4,0.35,4.25,0.42,3.81,4.48,4.73,4.82,1.5,0.45,0.88,0.39,1.27,0.28,5.29,1.41,5.33,2.09,0.2,1.31,4.97
ABCC5,3.09,3.17,1.12,2.78,3.77,2.57,3.2,2.8,1.92,3.54,1.31,3.72,0.71,5.37,1.96,6.5,3.3,2.78,1.89,7.56
ABCC6,32.87,70.12,17.75,54.17,21.83,21.01,11.99,47.2,34.1,41.87,34.24,21.35,21.93,24.18,22.72,59.37,37.74,73.28,38.62,26.11
ABCC6P1,12.23,14.63,13.31,28.48,12.16,13.04,7.12,11.92,9.14,13.87,12.56,8.94,4.77,14.58,9.85,14.67,9.16,11.39,18.84,9.13
ABCC6P2,8.72,24.72,7.77,17.36,5.95,10.22,2.07,25.36,4.52,5.3,7.83,6.08,4.78,6.53,2.46,10.17,7.51,18.89,10.86,10.75
ABCC8,0.02,0.01,0.01,0,0,0.06,0.01,0.01,0.01,0.02,0.01,0.02,0,0.02,0,0.25,0.03,0.01,0.01,0.03
ABCC9,8.33,15.83,5.38,7.6,6.41,3.94,8.95,4.93,5.79,19.14,8.85,7.15,3.46,3.6,3.91,9.33,4.82,6.93,6.99,6.93
ABCD1,1.94,8.39,0.27,0.74,0.44,0.79,1.57,1.11,3.03,6.63,1.24,1.79,0.96,1.68,0.74,1.61,3.93,8.2,2.12,5.63
ABCD2,0,0.02,0.08,0.33,0.18,0.02,1.23,0.3,0,0.01,0.02,0.03,0,0.14,0,0.21,0.33,0.06,0.02,0.08
ABCD3,37.21,37.34,65.83,78.51,70.1,27.16,38.04,76.75,34.5,30.94,25.13,24.11,13.74,77.94,31.85,36.67,28.93,55.39,24.67,20.2
ABCD4,9.94,12.06,6.86,7.91,6.28,6.46,10.54,6.98,7.52,5.78,10.18,9.65,10.46,15.33,9.03,7.06,9.54,5.76,10.68,10.75
ABCE1,12.43,12.67,11.85,18.22,20.24,9.65,18.04,25.93,9.65,10.02,6.1,12.29,2.72,17.33,5.06,11.1,7.76,15.57,6.85,9.14
ABCF1,14.38,19.49,7.89,17.98,13.53,9.4,13.95,27.5,13.72,16.6,12.43,19.06,9.89,12.42,9.74,26.49,12.93,30.75,12.91,20.71
ABCF2,4.64,11.19,3.59,11.33,7.69,6.89,9.87,13.4,5.53,10.74,3.4,9.81,4.09,16.97,3.94,19.13,7.16,19.3,5.93,13.17
ABCF3,13.2,18.28,5.49,8.83,9.55,7.45,12.97,11.66,13.34,15.67,11.89,11.19,11.5,38.31,10.1,20.28,17.15,18.19,13.87,21.18
ABCG1,3.56,3.14,1.34,1.26,4.76,3.57,9.31,6.47,3.22,3.33,1.23,5.44,1.49,19.13,4.96,7.21,10.5,2.06,8.32,5.92
ABCG2,8.01,5.78,12.31,24.18,5.35,0.88,6.36,36.14,8.19,11.53,8.63,8.84,3.09,11.36,10.66,7.54,6.15,19.77,6.29,7.03
ABCG4,0.03,0.01,0.02,0,0.02,0.01,0.03,0.02,0.05,0.02,0.02,0.01,0.03,0,0.06,0,0.06,0.02,0.02,0.16
ABCG5,30.66,18.53,23.43,0.34,17.67,15.66,14.1,8.52,19.68,17.3,22.98,12.14,15.34,22.69,28.12,19.95,19.71,13.53,26.7,14.99
ABCG8,20.83,23.57,18.16,0.07,12.56,16.29,10.92,7.47,26.03,30.65,19.53,23.48,19.48,25.13,28.58,27.77,23.79,38.03,21.22,19.78
ABHD1,0.62,3.3,0.16,1.8,0.18,0.19,0.16,1.02,0.45,0.95,1.56,0.32,1.82,0.37,0.25,0.68,0.42,1.2,0.57,0.54
ABHD10,9.37,4.94,18.33,26.34,20.32,18.77,15,14.83,10.47,11.03,11.84,10.46,8.89,11.74,12.7,12.11,12.47,17.81,10.47,13.77
ABHD11,9,21.32,2.37,3.25,7.03,2.41,7.93,1.64,6.7,7.65,4.59,4.18,6.55,16.31,3.48,10.06,6.56,8.23,5.83,19.43
ABHD11-AS1,0,0,0,0,0,0,0.35,0.14,0.1,0.09,0.18,0,0,0.25,0,0,0.66,0.14,0.12,0.33
ABHD12,11.87,16.17,7.94,17.38,14.24,17.68,14.75,12.85,14.59,20.64,9.58,15.68,9.92,24.62,11.85,24.48,18.14,25.86,11.41,28.68
ABHD12B,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.76,0,0
ABHD13,3.19,3.98,4.27,3.42,6.22,5.55,8.18,4.27,3.27,3.86,2.64,3.41,0.86,1.38,1.56,2.1,3.13,2.74,1.75,2.76
ABHD14A,9.61,10.19,5.07,8.65,5.76,5.19,12.67,6.99,10.06,9.6,8.82,11.39,11.72,10.88,8.75,9.56,14.22,9.75,8.84,12.97
ABHD14A-ACY1,0,0.61,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD14B,55.27,85.54,37.29,33.03,35.64,32.2,35.64,32.64,56.59,72.7,75.62,49.57,74.75,39.23,51.63,44.71,69.32,33.74,65.08,44.45
ABHD15,10.78,11.66,11.08,11.99,8.88,11.85,6.59,3.22,6.57,10.55,8.76,9.28,7.46,6.3,9.47,3.74,9.16,7.06,9.89,4.64
ABHD16A,16.21,28.95,8.59,14.44,12.35,12.2,20.22,29.05,22.45,23.15,19.97,26.45,18.8,14.86,17.75,29.93,29.45,31.82,17.99,36.53
ABHD16B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABHD2,26.19,20,32.77,9.54,23.78,38.27,20.62,19.19,55.67,57.89,30.18,47.13,32.8,53.63,24.76,54.75,27.33,30.83,43.97,22.66
ABHD3,17.19,13.51,20.42,42.53,25.13,35.36,18.71,23.73,12.48,11.71,9.58,17.18,8.59,31.52,7.88,37.33,9.3,33.73,8,12.1
ABHD4,8.5,14.31,4.71,19.8,11.68,14.39,12.53,18.41,6.18,12.39,6.77,22.38,5.47,14.34,6.99,15.04,13.97,12.57,7.14,22.94
ABHD5,4.04,5.66,4.02,5.78,6.04,5.16,4.04,4.01,4.29,5.59,3.5,5.33,1.57,4.04,2.95,4.03,3.62,3.6,3.69,2.84
ABHD6,9.54,19.72,28.72,28.58,22.32,27.85,7.84,19.18,20.73,21.12,19.65,21.19,23.14,13.33,25.16,19.45,14.34,20.37,16.9,14.88
ABHD8,3.67,5.8,0.72,0.95,0.67,1.13,1.53,0.9,5.5,6.7,2.32,2.79,4.96,8.37,1.58,2.03,5.42,5.01,5.14,5.1
ABI1,9.98,11.41,8.29,12.89,18.8,15.67,27.25,18.44,8.09,9.97,5.24,10.26,2.91,10.72,5.85,19.52,12.32,25.62,6.06,15.04
ABI2,2.15,1.87,1.8,1.44,5.18,2.12,5.58,2.93,1.39,1.42,0.95,2.95,0.85,3.44,1.79,3.6,3.12,2.59,1.56,4.29
ABI3,3.54,2.23,2.1,0.53,2.83,0.47,6.2,2.8,4.44,1.69,1.21,2.92,1.22,1.66,1.78,1.34,5.15,2,2.12,5.89
ABI3BP,1.22,0.55,0.98,0,6.69,0.8,16.15,0.8,0.85,0.64,0.58,2.14,0.22,0.02,0.74,0.96,6.07,0.02,0.75,3.68
ABL1,5.23,5.09,0.85,1.39,3.59,1.8,8.11,3.11,4.4,5.18,2.05,5.11,1.67,5.71,1.93,1.41,6.54,5.04,3.79,9.43
ABL2,1.35,2.14,0.52,1.92,1.59,1.48,2.61,1.79,0.82,1.21,0.48,1.97,0.27,1.42,0.97,0.8,1.06,1.41,0.63,2.14
ABLIM1,5.04,5.4,4.05,9.27,10.63,8.72,14.6,11.94,5.64,7.52,2.9,7.23,1.99,7.04,4.98,7.58,8.79,6.61,7.91,13.06
ABLIM2,0.56,0.94,0.21,0.84,1.08,1.1,1.09,0.16,0.77,0.65,0.31,0.37,0.2,0.09,0.23,0.22,0.91,0.79,0.73,3.68
ABLIM3,19.88,18.81,20.81,10.08,15.84,14.68,14.11,8.91,21.1,17.83,15.52,23.11,24.03,18.25,18.14,38.85,10.08,3.4,22.68,20.18
ABO,0,0.06,0.15,0,0,0,0,0.03,0,0,0.04,0,0,0,0,0.05,0.1,0.06,0.08,0.21
ABP1,0.02,0,0.04,0.02,0.23,0.03,0.23,0.03,0.09,0.04,0.07,0.02,3.77,4.07,0.23,0,0.79,0.07,0.11,0.24
ABR,3.89,1.35,0.7,0.24,3.13,0.65,7.34,1.87,2.32,2.4,1.15,2.54,0.68,1.5,1.32,1,5.43,1.13,2.33,8.78
ABRA,0,0,0,0,0.01,0,0.08,0.02,0.02,0.01,0,0,0,0,0,0,0,0.02,0,0
ABT1,8.34,13.91,5.72,12.84,8.16,5.22,16.38,14.57,7.98,7.59,5.97,10.29,7.82,6.73,6,11.37,10.15,14.73,7.96,12.22
ABTB1,12.12,9.87,2.03,0.96,3.34,1.14,8.8,1.59,7.65,8.14,5.7,7.07,7.21,8.87,4.39,6.35,16.01,13.74,9.62,19.98
ABTB2,4.25,4.95,1.61,1.81,1.88,3.19,1.73,0.67,4.88,8.36,2.76,2.94,2.5,4.14,1.97,3.26,3.28,4.87,4.6,4.68
ACAA1,196.4,142.87,251.42,130.95,142.33,46.92,96.15,132.59,238.83,153.23,536.17,141.04,545.69,159.04,178.59,192.31,339.25,128.14,263.05,133
ACAA2,249.2,132.71,623.47,545.62,446.17,353.35,186.08,308.09,305.42,222.65,694.42,270.3,608.72,413.03,380.53,319.86,399.23,483.52,401.97,157.75
ACACA,2.95,4.29,0.98,2.85,1.73,2.84,2.68,6.55,1.41,2.7,1.87,2.33,1.02,12.21,1.43,7.52,1.72,7.21,2.48,4.1
ACACB,12.8,21.22,5.14,1.3,4.65,5.07,5.93,1.48,10.01,14.08,15.87,10.55,10.19,1.63,6.51,5.09,9.85,5.81,15.43,7.26
ACAD10,8.46,14.44,5.56,3.45,5.48,4.24,5.75,4.5,10.06,10.35,8.57,9.65,10.78,11.24,8.36,28.05,9.01,9.08,11.37,12.25
ACAD11,30.81,25.97,39.38,35.41,32.3,18.51,16.11,28.56,28.93,31.22,42.55,24.44,13.28,8.63,41.43,19.38,27.3,6.06,34.12,15.21
ACAD8,10.88,19.74,12.58,9.66,11.9,7.19,9.73,6.75,13.91,13.89,9.96,13.87,11.82,7.29,11.7,9.14,11.69,15.87,11.78,13.08
ACAD9,11.87,14.3,10.54,19.66,12.63,11.09,13.57,15.92,14.18,11.57,13.23,12.53,12.76,26.85,11.6,30.79,14.35,19.49,15.04,20.4
ACADL,11.41,15.71,11.72,8.22,10.31,4.62,5.14,0.71,11.95,20.51,11.46,6.27,7.2,3.3,4.97,4.73,6.34,3.6,10.39,5.93
ACADM,72.59,67.69,121.55,144.03,114.28,74.46,42.68,66.36,76.94,124.97,76.83,75.49,46.74,71.29,69.75,111.83,46,49.88,68.34,26.11
ACADS,73.09,58.66,16.71,6.01,6.74,5.54,11.33,5.24,89.62,44.28,88.27,18.89,138.43,20.24,17.63,20.43,58.69,10.56,70.65,33.8
ACADSB,93.29,91.26,93.6,99.09,46.39,53.46,32.68,46.28,42.88,74.11,72.91,35.45,48.6,77.81,66.45,175.37,38.8,48.69,62.84,31.16
ACADVL,350.49,314.5,179.94,153.57,177.1,192.53,171.21,228.14,281.04,112.07,260.18,293.11,333.28,67.84,230.56,175.37,255.77,287.77,238.46,269.68
ACAN,0.04,0,0,0,0.02,0,0.01,0.41,0.01,0.01,0,0.01,0,0.02,0,0.02,0.03,0.01,0,0.36
ACAP1,1.28,0.72,0.49,0.14,1.08,0.15,17.55,1.46,0.58,0.34,1.39,2.23,0.88,0.5,1.11,1.35,7.97,0.56,0.76,9.96
ACAP2,4.08,5.18,2.49,5.44,5.92,4.58,8.5,4.84,2.95,4.03,1.4,2.23,0.73,4.91,1.1,3.89,3.16,6.92,1.81,3.32
ACAP3,3.25,11.2,0.76,1.36,1.34,0.7,2.33,2.08,4.19,3.56,2.18,1.27,2.06,5.06,1.23,1.87,3.84,2.67,2.63,6.37
ACAT1,196.44,183.75,328.51,237.51,228.17,311.05,99.45,97.42,190.06,206.74,423.76,257.63,296.89,75.52,300.5,191.07,221.02,248.99,440.03,166.06
ACAT2,121.33,41.81,65.29,200.11,57.18,44.91,83.58,78.79,33.11,18.85,86.86,47.08,51.34,208.34,42.47,131.46,32.85,80.31,39.21,47.21
ACBD3,9.94,21.03,8.68,25.33,18.28,24.95,15.46,20.17,8.95,11.76,3.46,12.97,2.13,8.73,5.23,9.37,6.21,20.58,4.68,9.33
ACBD4,28.33,35.73,16.32,11.66,15.84,14.2,12.71,5.36,37.87,31.88,34.5,26.73,42.31,19.86,21.52,14.27,37.74,37.17,30.74,20.72
ACBD5,20.79,18.5,20.14,28.44,21.12,28.85,16.72,19.76,19.28,27.98,13.75,15.68,8.46,27.35,16.67,25.56,13.7,36.77,16.48,19.62
ACBD6,8.04,15.53,6.12,11.68,13.87,18.46,12.53,20.82,7.24,7.45,5.48,9.34,5.94,13.82,5.03,9.44,10.97,15.18,6.89,23.57
ACBD7,0.04,0.13,0.17,0.71,0.23,0.28,0.3,0.48,0.1,0.12,0.29,0.29,0.07,0.93,0.08,0.66,0.27,1.08,0.26,0.44
ACCN1,0,0,0.02,0,0.13,0.02,0.2,0.02,0,0.02,0,0.18,0,0,0,0.01,0,0.02,0.09,1.65
ACCN2,0.09,0,0,0.93,0.16,0.08,0.33,4.6,0.06,0.03,0,0.11,0,0.36,0,1.54,0.19,0.65,0.05,0.59
ACCN3,0.41,0.39,0.04,0.11,0.02,0.17,0.11,0.19,0.23,0.29,0.36,0.65,0.09,0.33,0,0.06,0.18,0.3,0.21,0.34
ACCN4,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0
ACCN5,0.02,0,0,0.03,0.03,0,0,0,0.02,0,0,0,0,0.02,0,0,0,0,0,0
ACCS,4.81,2.34,1.93,1,1.65,0.72,3.41,1.62,4.14,5.85,8.9,7.45,2.78,2.4,2.83,2.56,4.84,5.43,7.79,11.81
ACCSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACD,2.15,3.29,0.48,1.16,0.9,0.59,3.69,1.27,1.93,1.97,1.77,2.18,1.82,5.24,0.82,2.79,4.2,6.94,2.31,6.52
ACE,2.15,2.15,0.2,0.61,0.56,0.2,1.78,1.58,0.37,0.4,0.27,0.94,0.13,0.62,0.28,0.79,2.66,0.88,0.86,2.89
ACE2,0.36,5.49,1.59,36.63,2.91,0.11,0.54,0.02,4.31,12.07,1.23,0.11,1.1,0.04,2.98,0.04,1.95,0.11,3.63,1.81
ACER1,0.08,0,0,0,0,0,0.23,0,0,0,0.11,0.15,0.12,0,0,0,0,0,0.08,0.05
ACER2,0.97,1.47,0.23,0.2,0.51,0.48,0.77,0.51,1.12,0.88,0.08,0.27,0.08,0.16,0.37,0.43,0.48,0.74,0.34,0.46
ACER3,1.47,1.33,0.76,0.89,3.05,2.73,3.53,1.98,1.58,1.76,0.52,1.37,0.25,1.87,1.06,2.44,1.62,2.37,0.98,1.91
ACHE,4.66,11.4,0.09,0.01,0.58,0.14,1.93,0.23,3.04,1.15,0.66,4.54,0.25,0.57,0.63,5.14,2.72,0.09,0.56,1.85
ACIN1,18.18,22.95,7.1,10.52,14.7,9.01,24.52,20.52,12.03,12.01,14.13,19.91,9.41,16.6,12.59,20.93,15.71,11.86,14.85,32.97
ACLY,13.45,25.32,4.27,16.94,15.03,15.52,20.21,26.95,11.81,15.64,5.97,14.34,3.52,43.68,5.43,39.65,12.62,34.01,7.26,18.87
ACMSD,45.7,45.55,70.68,33.29,47.17,91.56,24.65,29,45.5,104.5,90.48,71.5,81.44,34.37,93.26,92.79,43.88,13.29,70.35,27.09
ACN9,3.76,18.79,6.1,3.03,6.69,4.27,8.54,14.05,4.27,7.59,4.57,4.11,2.92,7.14,2.28,4.67,2.95,8.7,3.88,4.06
ACO1,39.57,38.91,35.2,29.37,28.4,29.05,22.47,25.72,43.09,73.4,38.85,30.8,36.01,17.37,39.48,53.44,34.53,46.57,54.48,37.44
ACO2,26.06,36.52,14.12,12.47,25.14,24.44,26.83,19.26,42.42,81.44,30.79,31.4,36.55,62.21,27.8,42.63,41.8,21.85,33.96,40.92
ACOT1,7.34,7.15,29.23,33.97,11.9,11.71,11.67,19.96,23.1,26.53,52.91,39.93,28.64,9.46,23.12,45.82,28.37,11.84,33.25,19.98
ACOT11,0.48,0.03,0.22,0.08,0.59,0.03,0.18,0.16,0.25,0.04,0.19,0,0.78,1.96,0.51,0.11,0.65,0.1,0.46,0.49
ACOT12,23.26,8.66,43.53,31.58,33.45,40.29,13.11,22.55,44.86,33.63,54.37,39.14,26.27,27.31,33.19,41.6,35.59,23.1,33.67,12.95
ACOT13,12.24,13.39,24.64,38.74,20.69,21.03,14.19,33.61,15.05,18.47,24.95,14.44,19.9,8.97,24.9,23.88,17.72,18.79,18.39,17.24
ACOT2,31.77,40.28,49.46,45.69,30.03,32.06,28,44.85,51.75,53.67,72.08,55.86,41.64,20.3,39.95,55.4,37.23,14.45,51.08,24.74
ACOT4,7.28,10.53,12.27,14.83,6.88,7.1,3.92,3.92,8.96,8.08,6.71,11.84,9.61,6.73,8.48,15.17,7.07,7.83,7.89,4.64
ACOT6,0.33,0.74,1.39,1.11,0.19,0.14,0,0,0.17,1.29,0.25,0.27,0.33,0.58,0.46,2.97,0.46,0.1,0.18,0.12
ACOT7,12.07,13.02,5.25,4.03,7.3,6.58,20.72,6.44,11.77,10.84,9.84,6.83,10.59,27.35,7.38,10.81,20.71,18.01,11.2,14
