Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
SMC5,5.56,4.17,3.39,5.71,7.96,2.79,9.01,5.1,3.62,3.85,2.03,3.32,1.45,5.97,2.53,6.13,3.24,9.85,3.72,4.75
SMC6,6.17,12.71,2.55,9.49,6.13,6.12,6.5,6.94,3.7,5.31,2.53,4.78,1.13,4.12,3.17,7.79,4.32,6.13,4.98,4.09
SMCHD1,3.19,3.55,2.03,3.23,5.41,3.51,11.16,4.86,1.88,3.21,1.33,2.33,0.47,4.2,2.02,3.15,3.73,4.75,1.51,3.15
SMCP,0,0,0,0,0,0,0,0,0,0.05,0,0,0.09,0,0,0,0,0,0,0
SMCR5,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMCR7,2.4,3.09,1.25,1.58,1.9,1.46,2.04,1.21,2.65,1.5,1.64,1.96,2.49,1.48,1.4,1.82,3.33,3.09,2.3,4.31
SMCR7L,4.3,7.25,4.88,5.91,6.56,7.48,6.43,6.59,7.2,9.42,4.26,5.72,4.24,5.56,5.26,7.77,5.29,5.36,6.43,7.01
SMCR8,1.11,2.44,0.57,1.65,1.73,1.39,3.43,2.46,1.42,1.45,0.4,1.75,0.66,1.78,0.99,1.8,2.05,2.3,1.33,2.91
SMCR9,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0,0,0.4
SMEK1,14.3,18.52,11.4,17.19,23.79,16.64,26.04,17.67,9.05,11.46,8.4,14.15,4.28,8.06,8.8,7.14,11.13,9.59,10.34,12.3
SMEK2,13.52,16.47,15.39,18.4,23.97,22.77,27.09,17.05,11.95,18.43,9.94,15.01,3.7,17.33,10.59,15.94,13.42,13.97,10.59,12.44
SMEK3P,0,0,0.01,10.86,0,0.01,0,0,0.01,0,0,0,0,0,0,2.72,0.02,11.86,0,0
SMG1,4.32,5.38,2.28,3.37,4.07,2.58,6.68,3.72,2.35,3.01,1.57,2.61,0.57,3.17,2.4,3.41,4.06,4.46,2.78,3.23
