Gene,UC4,UC5,CD5,CTR1,CD2,UC3,CD1,UC2,CTR2,UC1,CD6,CTR4,CD3,CTR3,CTR5
SH2B2,3.081657978,5.505583099,4.693393959,7.154746462,2.91061581,4.953122582,2.38696087,5.79285079,3.488019209,4.028444447,5.18712742,1.964424925,4.065037562,2.711245875,5.43758331
SH2B3,15.74780024,16.02246619,19.47549442,12.39861645,15.57325972,14.45847074,12.74691006,15.03402907,13.94135124,13.80643789,15.60213608,9.247706896,18.93279428,19.74938367,16.08245101
SH2D1A,1.432725412,3.79508115,6.875671006,4.4428931,3.540736428,3.491198837,2.157216812,2.112767988,1.745796537,2.610222731,6.264288474,1.013040744,6.328333718,2.665093131,3.073202343
SH2D1B,0.096992196,0.134576208,0.85823253,0.918280173,0.626064882,0.487171031,0.17366751,0.330203921,1.083375218,0.233836566,0.634176534,0.545544437,1.063962098,1.138468227,1.359854481
SH2D2A,5.54489485,6.541896128,8.476439472,4.994995703,4.168140856,6.043021793,5.564069862,5.123003623,2.642150666,5.725371712,4.866578419,2.772433667,7.791169941,5.024827365,7.025452924
SH2D3A,4.18031491,5.173316586,2.821720315,5.142027174,5.186046025,7.808853222,6.147087,4.120255049,7.870647279,4.761602513,4.863207694,7.846082756,4.002545564,5.25845786,8.005137799
SH2D3C,3.946953859,6.348850854,8.679916658,8.448076897,8.308628477,4.827923301,4.624581576,5.802492685,5.241603001,4.68107748,11.1287004,3.289736015,10.69515401,5.011347684,4.870077403
SH2D4A,4.2220997,2.953685607,3.991087547,3.181243345,6.468474761,7.03982271,4.231331548,3.648857667,6.390123082,3.524538679,3.474868119,8.536319218,2.299140301,3.126464649,6.149565678
SH2D4B,0.051192009,0.038051072,0.05404767,0.135420768,0.050835999,0.014834221,0.030553622,0.015377649,0.059379248,0.023140838,0.038620994,0.04723945,0.055625633,0.036539877,0.019693662
SH2D5,0.050675024,0.050222395,0.061144967,0.037628958,0.041935508,0.009789607,0.060490126,0.060889404,0.060956602,0.132352364,0.114692891,0.017814241,0.062930142,0,0.008664345
SH2D6,0.038313666,0.032546956,0.052833869,0.262146231,0.092400387,0.126884401,0.352809247,0.092072825,0.316026643,0.118760991,0.082586099,0.519508662,0.135940985,0.213571443,0.084224797
SH2D7,0.095615484,0,0.019228426,0.337248532,0.11868817,0.30477791,0.256803698,0.019148058,0.739383048,0.105653844,0.132248558,0.756282588,0.138528701,0.485322703,0.155307928
SH3BGR,0.027914988,0.099596347,0.134729964,0.186555557,0.138604282,0.161781933,0.166608817,0.033541711,0.057563533,0.033649846,0.126360106,0.058879221,0.207995264,0.053133827,0
SH3BGRL,36.77749548,31.55484593,53.40480043,41.2436131,40.12901984,30.5213248,41.70278592,33.20832171,28.7545839,43.02143861,27.02633454,28.68798654,43.07314556,37.34335665,23.492608
SH3BGRL2,20.37180002,15.0092853,15.85338933,16.58506788,25.09658706,38.28699354,26.47370046,14.39997462,49.34485521,15.67708812,14.97813647,52.5598491,14.43397311,17.9454868,21.92204249
SH3BGRL3,144.4379082,160.1069787,177.7391523,91.82002385,98.57854792,184.6290823,94.8055872,135.8826152,107.1637843,111.5109434,85.51145388,122.985333,96.25647725,97.65797284,267.7325617
SH3BP1,15.32053594,18.18627902,18.83240713,21.68646251,21.088559,25.14760134,17.20813391,13.47436579,29.04614748,11.37157297,16.59547108,31.10316521,15.19196241,18.44790095,25.09991032
SH3BP2,9.70273672,10.73780874,9.525532338,11.02167943,10.43334887,10.53812148,13.87545461,10.84872552,12.66685846,9.46584272,11.13485086,9.33653644,12.09080647,9.92334737,12.2468212
SH3BP4,10.48225079,9.317570977,7.867877197,4.796257412,9.099631634,8.824453531,9.310965874,7.024883785,8.235186881,8.168729547,8.479931095,6.560193143,5.598029209,7.240825535,7.093234336
SH3BP5,16.6363619,15.77555567,16.74930359,20.01079513,11.90980267,9.703052078,18.9157014,16.54040012,9.058178125,12.72688766,20.08747464,10.45384378,17.74074758,10.23137182,11.38443657
SH3BP5L,7.418085387,7.384214018,5.303407604,10.3736196,9.556975276,8.636213733,7.050741661,6.822421459,9.518410256,6.371708438,9.836942836,8.297110537,9.719327862,9.151369554,7.551336286
SH3D19,16.75736721,19.80199621,19.69151893,17.60868687,24.11133582,20.97358872,22.19723719,12.0950765,22.83804326,21.14962527,14.98295682,25.49859451,19.02846082,24.91257071,14.82129686
SH3D21,1.31032506,3.474533294,1.651319627,2.951395516,3.007246755,1.991320244,4.854559484,1.037965804,2.191640866,3.346238919,2.841176966,3.244883805,2.350415452,3.011386711,3.176354763
SH3GL1,29.88998696,30.6135006,26.50017208,23.46616608,31.88760272,23.6155103,21.59536211,25.33309362,23.12151867,23.33250209,27.06468298,24.80483862,28.25066772,32.07207401,38.78004467
SH3GL2,0.07222419,0.014315817,0.043573198,0.084914775,0.059768262,0.009301709,0.02394808,0.004821231,0.132385418,0.053204516,0.07870545,0.059242424,0.059793801,0.114560548,0.016465056
SH3GL3,0.017445382,0.013831648,0.021049765,0.03238536,0.03464812,0.01348068,0.027765772,0.020961784,0.029978454,0.021029363,0.043871301,0.01226546,0.043328657,0,0.023862298
SH3GLB1,21.20215683,21.08541612,22.13660169,16.00938847,19.64528503,21.08976878,21.52458215,23.40698183,20.93689887,23.58060871,16.50029223,21.77737212,19.47453701,19.68556633,21.91180847
SH3GLB2,21.48909424,27.8519635,19.52468343,35.33661406,31.624438,29.2225794,42.82751816,24.30902356,39.76415297,27.39946527,35.3104054,34.05774213,26.60036093,23.97743271,25.86360292
SH3KBP1,13.12516943,14.34388567,21.64205443,19.80510127,13.49624267,25.05592217,15.65852463,15.27348576,18.57700315,14.55658979,13.18046433,16.62445519,16.13413072,10.52197345,17.06595093
SH3PXD2A,31.77555162,25.05038963,22.46541596,16.64722908,23.78985318,17.47168927,32.4586744,21.88556231,24.91445126,34.35063207,31.32018426,22.37142367,28.48310235,21.82168062,17.20898151
SH3PXD2B,30.87801499,38.48805142,17.31618496,12.15699165,11.35863899,12.44489005,20.06777887,34.06614505,7.678779688,22.68593248,14.69675207,11.89133837,12.74605091,10.46005401,27.06146461
SH3RF1,9.760288799,10.15445135,8.142372769,9.648943955,12.60631879,16.31120786,12.40329072,7.986762371,19.34827889,10.7146224,8.185574898,17.62348469,7.655173836,10.81487835,14.02910398
SH3RF2,4.754564158,3.438556857,3.039007775,5.002368211,7.886179459,8.139949648,10.36922289,2.539935283,13.75264834,3.663412034,4.149292377,10.87548512,2.656978069,5.130321768,5.200547129
SH3RF3,3.755599154,2.69896258,2.447862322,1.744733336,2.321915065,1.966216104,2.389722801,2.299911905,1.532340614,4.057394701,2.755528379,1.67212377,2.618964046,2.399790343,2.755332916
SH3TC1,7.824404741,8.629904817,5.767789564,9.297968469,5.406037589,4.571638449,12.81378269,8.849411836,4.836466378,6.685382319,8.96523742,4.260486139,7.370696517,4.767976929,8.0857598
SH3TC2,0.174215573,0.238361762,0.156262428,0.176874507,0.169941991,0.23767458,0.228202681,0.200069113,0.157370644,0.102215523,0.372202932,0.143082267,0.245066103,0.105643962,0.186630912
SH3YL1,6.552895591,8.422087417,8.043503047,8.72913797,15.26501976,16.8983242,11.9022268,9.371337648,18.5946129,12.13323522,8.092326377,14.0008276,8.958429499,12.94016819,10.1320775
SHANK1,0.174307223,0.111234347,0.318046022,0.104177443,0.240644298,0.068989362,0.243592151,0.127708351,0.170952765,0.174243296,0.449035673,0.05380311,0.353729332,0.214442592,0.056698024
SHANK2,1.155631814,0.708608892,0.728965005,1.098886708,1.846609847,0.973304266,1.898828985,0.562753105,2.465892994,1.269441423,1.308817366,1.803280174,0.578172538,0.862451811,0.861428237
SHANK3,6.341120823,8.156014536,8.681233709,5.213122369,8.119237348,2.961547008,14.22365704,8.456560697,4.915486906,9.029812548,13.37930961,3.845896948,12.21578948,5.333034024,4.646554478
SHARPIN,15.17822914,17.93132699,13.98494379,17.89385599,16.65400334,17.14923504,13.49831366,13.66007215,19.24496439,12.29482298,17.91400538,19.36596377,17.99781415,13.83136508,16.00516406
SHB,6.438519517,5.08322376,3.687295751,3.365869998,5.643526233,5.451242367,6.580674725,5.168442857,4.982338445,7.646389681,6.480007614,6.072392742,3.828757195,5.071778676,8.553109058
SHBG,0.105752782,0.188654758,0.414707523,1.266250857,0.131271669,0.091933888,0.126235739,0.127068985,0.027259118,0.223087627,0.239350498,0.139410801,0.820798514,2.667112443,0.081366588
SHC1,45.62098921,38.95074175,36.15295526,26.30572415,35.57034648,32.3858015,33.60175053,44.84671882,27.43172413,43.25024411,32.71967082,28.60496829,35.10559635,35.11347805,48.06838974
SHC2,3.405332081,7.018809613,3.50647254,3.949818048,5.975095949,1.795501481,6.448828238,4.430146433,4.408636547,5.648128297,9.349200456,2.443717604,6.995121359,4.897873199,3.046904617
SHC3,0.769041485,1.07437367,0.465140992,0.26673332,0.52008478,0.390410365,0.86686612,1.153313438,0.405493632,1.147643935,0.605161331,0.447614117,0.47872114,0.429877098,0.465373484
SHC4,0.814902703,0.690776272,0.543936247,0.714544223,0.335746663,0.060290893,0.444976306,0.697911683,0.277089198,1.337622327,1.085693591,0.63084346,0.516754047,0.429027272,0.462460122
SHCBP1,2.085708343,3.433319479,1.533949298,2.669752998,0.848207147,2.878040204,0.932643263,4.455319076,0.846534586,2.849422671,0.719327722,0.817002707,0.575580151,0.781390921,2.207595125
SHCBP1L,0,0,0.019567035,0,0,0.018796666,0,0,0,0,0,0.017102235,0,0,0
SHD,0.238621135,0.227030183,0.230338029,0.212626986,0.315948892,0.756003958,0.094946329,0.038229217,0.984121898,0.268467253,0.168022316,1.24149215,0.177797194,0.105978883,0.37535182
SHE,2.522214346,3.962635791,3.183573395,2.766167791,3.6358169,2.029840913,3.015359687,3.235441622,2.472701251,2.820873274,4.62996237,2.36577902,5.393508399,4.295666723,3.028649493
SHF,1.639583203,2.949571839,1.702872115,3.271013201,2.5556257,2.032757829,2.861402018,1.458847838,2.771125114,1.901365442,4.321522042,1.729131689,3.608271007,2.834405105,2.682686694
SHH,0.889760317,0.750963317,0.346320413,0.35965272,1.175721565,1.463816301,1.182009479,1.672633681,0.843405046,1.539632195,0.88780273,1.225916728,0.267323627,0.580462174,3.275702098
SHISA2,0.397167769,0.219302722,0.941337601,0.947952778,1.014186101,0.575448648,0.609549518,0.988534247,0.321750065,0.615551085,1.605197614,0.344063348,1.373963868,0.728976245,0.552958582
SHISA3,1.467075247,1.725161505,2.585666371,7.509398969,2.586358139,0.171960008,0.826422626,1.049750314,1.563616364,0.655725326,1.417713632,1.929656342,3.439033518,5.490780448,0.405851042
SHISA4,2.524871105,3.694070896,2.476678347,2.083920392,2.777885401,1.60014953,2.753712897,2.051634655,1.910313216,2.649448102,3.974144839,2.356265003,3.721971986,1.590434876,2.310676449
SHISA5,44.35307881,42.77440105,43.07453592,37.47192168,40.88566945,37.71628209,28.30653325,41.51744943,28.95551046,34.6922001,41.14605646,31.8312827,46.101159,45.76869545,54.38971478
SHISA6,0.12158361,0.216895727,0.046678527,0.486294022,0.219523762,0.006405823,0.085760288,0.053123918,0.450152265,0.093266574,0.108404418,0.192336142,0.089219636,0.552262179,0.113390165
