Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
CCL3,9.076,7.5496,1.9176,24.0705,64.7995,4.1073,14.0782,11.1473,2.849,2.1743,9.0229,8.6621,12.0371,8.5624,3.6761,9.5801,16.4753,8.6688,7.6964,13.2396
FAM96B,90.9764,96.2612,72.9691,59.6336,56.4409,54.4101,39.7875,72.2926,85.6926,72.6249,71.7074,71.4727,80.6519,85.6152,75.8183,93.1438,83.3352,66.8289,118.1551,69.0663
CPD,19.0059,13.2813,18.4226,11.0148,23.0516,23.5509,17.3512,12.4603,14.505,16.0443,16.4412,17.0751,15.0682,8.5609,23.3649,11.2195,14.6217,14.7176,10.82,16.9457
TAP2,9.2576,7.9042,6.971,4.8749,12.4377,5.566,5.9583,9.5681,9.5588,8.0133,4.6445,5.9361,5.7603,8.5565,4.3657,4.6882,17.7345,11.043,4.929,7.8372
LRPAP1,50.4293,71.4726,59.553,36.6216,47.1689,53.6415,56.5115,72.1854,59.851,55.7557,64.8546,61.4807,94.1343,85.509,66.8899,68.451,59.7902,62.9722,63.4682,56.8664
COLEC12,10.679,24.425,20.8754,79.4432,20.7298,13.797,55.1189,8.8198,30.2615,16.88,18.2265,12.8375,20.3408,8.5506,43.2127,17.4027,6.9757,8.2015,14.8715,16.5475
LOC400027,12.6159,9.4912,10.2829,10.5297,9.3613,8.9782,8.3274,8.6698,11.695,10.0053,11.8873,10.5311,10.026,8.5505,7.691,9.005,7.681,7.9416,14.2611,6.9293
AACS,14.0204,12.4238,6.2051,5.8226,7.9975,8.6546,7.0728,5.3367,10.1092,10.0205,10.0724,7.8389,13.5146,8.549,13.148,6.4763,5.9115,5.629,8.4482,10.0101
SKIV2L2,6.0701,9.0999,16.7751,13.7569,12.5532,13.2659,9.3487,12.7907,10.8027,12.0756,11.3506,10.7433,10.1062,8.5471,13.2582,11.0074,13.9278,14.7914,7.0686,12.387
ZNF639,11.1152,7.7874,13.133,16.4452,15.199,10.705,14.3066,8.494,13.3343,11.1186,11.8873,10.2412,10.4132,8.5465,11.9217,9.7333,9.4008,12.4398,7.6405,10.3272
TIA1,17.4204,11.2208,13.3824,11.6455,15.2852,13.1013,10.3931,7.287,19.0927,21.9188,12.7372,14.2393,9.5123,8.543,8.8266,12.2339,16.6852,15.669,8.8562,15.1232
GPI,65.4403,60.2469,60.0167,66.1801,45.9681,41.9316,63.3028,66.8979,68.7114,61.934,64.6712,51.6954,80.2893,85.4271,65.8119,62.2743,61.1721,62.2408,51.6068,76.6407
NGLY1,15.4967,9.8351,12.3542,11.1427,14.1806,13.3447,9.9144,10.9841,16.8924,14.7642,15.3926,12.9308,14.898,8.5426,16.446,13.0267,13.7295,18.2568,13.3202,13.3912
PHAX,8.3536,8.2367,8.0642,6.1261,8.9283,10.4063,8.6351,9.3882,8.1601,7.3003,9.0828,11.8567,10.9551,8.5369,11.5381,11.5524,7.2755,7.9289,11.0018,7.2673
PLA1A,8.5396,5.1999,4.3263,1.5675,25.071,7.696,8.8369,4.4965,14.8843,6.6456,21.04,4.7665,11.4808,8.5364,1.1589,4.2768,8.5822,11.6387,5.9986,13.949
MAP2,15.548,4.1418,1.572,4.8778,11.6132,7.525,11.0036,1.6979,13.5414,3.9874,3.2255,5.12,9.5273,8.5322,9.1206,3.3553,0.8671,1.8036,2.7655,3.2041
HTATIP2,7.4863,13.2428,8.9398,3.3316,16.2825,8.1676,7.1696,11.6903,11.9064,10.2959,6.9141,7.9753,12.9295,8.5278,9.0429,10.6337,15.5467,12.497,13.9137,10.2439
CD79B,0.7079,3.8907,2.2648,0.9431,6.8229,3.4801,1.7783,4.0069,0.9211,1.2408,0.9229,2.3186,4.8875,8.5271,0.8511,1.4181,3.1265,6.4646,3.6353,3.9623
MYLIP,12.2755,6.6906,10.0618,10.5939,14.3329,8.3553,20.9134,15.9796,11.5177,12.9023,13.509,7.7102,12.1205,8.5265,9.0632,8.8528,13.1801,16.5482,4.7563,9.702
TRMT12,7.3399,5.8131,6.6273,10.0142,7.2111,5.3383,9.4415,6.0729,9.0189,6.1427,8.5577,5.9462,7.1236,8.5224,6.6613,5.0295,4.1759,6.6106,6.6024,4.9567
COPS6,80.9544,79.8237,79.1724,66.341,83.3221,59.1049,62.2673,83.0722,81.582,64.8368,80.8247,70.1974,91.4236,85.2052,84.3038,93.2911,72.7336,83.2228,97.4773,81.3187
HSD11B2,1.7781,9.7769,6.3079,2.9177,3.7662,11.7322,2.2561,34.8817,3.5945,9.2167,7.1736,8.4243,6.1199,8.5202,6.4077,10.4519,28.4126,4.4122,6.1323,9.7117
MRPL24,106.7736,74.9726,95.3599,157.4192,72.6182,66.1725,90.1967,87.235,92.2442,72.6727,100.771,72.3992,102.5532,85.1938,134.0079,93.0329,75.8707,80.7577,103.2387,97.9144
BCAS4,2.5846,3.4502,4.138,1.2034,5.0704,3.0651,2.9349,6.8696,2.3089,3.2462,3.3112,3.305,5.9588,8.5188,1.3603,5.0398,7.1719,6.8875,6.3551,4.3469
ERBB2IP,8.9672,11.5176,18.3344,14.7949,17.8834,20.9099,11.8041,7.9678,14.9674,17.499,15.3277,18.5064,11.6883,8.5149,16.962,10.7302,11.7499,13.2857,8.7007,13.1641
PRPF4B,12.8207,8.8914,13.6284,11.3546,14.0562,13.2345,9.627,8.0918,12.5913,12.2769,10.9804,12.1663,7.9272,8.5109,8.4361,10.0194,10.479,10.8023,6.581,10.8251
