Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
PGAM1,72.226,93.7993,97.3708,71.204,75.4613,79.3812,68.6537,84.3301,51.5185,73.6035,72.254,83.8962,81.5389,99.9239,67.6439,82.6327,66.5643,78.2535,111.0933,87.2638
TBC1D8,33.7877,18.1404,16.032,20.2177,17.6475,30.6131,23.252,18.9917,23.8488,25.9435,17.751,15.9054,17.3731,9.991,22.5034,24.3934,10.3749,10.3115,13.1996,26.8026
SLC43A2,5.8097,8.7804,7.9419,5.2675,11.9776,7.4976,7.9728,11.2972,6.7822,9.2745,10.1937,8.9638,9.2662,9.9902,3.3317,6.5375,12.3782,10.7619,4.4091,10.5412
MSC,1.8309,2.9673,1.5474,9.2969,3.1074,2.3316,1.8098,3.4846,2.1615,2.0051,1.7,3.7754,3.775,9.9896,0.7337,2.0108,8.1203,5.9484,2.1606,2.2882
ARL6IP4,85.3522,95.3441,97.6047,75.0001,67.2959,71.0882,67.9174,136.9698,95.9568,89.5509,92.3939,87.0557,107.6545,99.8708,98.8358,124.8534,101.0449,114.1401,142.7477,112.0384
TCF3,15.7396,13.2552,13.7265,18.8422,10.6135,12.3525,9.4547,11.5596,12.4443,12.1411,12.0562,12.9297,10.3952,9.9864,7.1656,8.4961,10.0955,11.6942,8.7853,12.4594
ICAM1,4.7788,11.9207,14.4697,30.2372,14.8617,7.2762,10.9496,22.1272,9.6372,9.8067,8.0874,9.2665,14.5637,99.8591,1.8397,4.77,26.0093,19.9925,4.3797,13.2802
GALNT7,74.4204,12.2611,27.8932,29.4759,47.4121,33.7091,31.7968,12.078,39.7598,38.1515,54.3588,16.6815,38.2291,9.9835,61.6355,12.849,24.7253,17.3979,9.843,43.1017
NDUFB2,89.094,83.8759,67.0561,48.2859,121.4949,42.8292,52.2329,83.1416,87.6191,59.5899,75.8789,61.6867,115.2322,99.7716,91.102,88.6876,75.216,90.7777,163.8311,70.0521
MCAM,9.2733,28.2783,39.9828,11.2035,29.8553,35.7198,21.1678,18.3535,18.7122,36.2309,34.7921,35.3109,43.6093,99.7692,9.8777,49.2249,51.2477,28.3454,17.1527,31.8893
ZNF692,27.4807,19.7402,13.8022,25.7591,13.4729,13.6971,12.9457,15.3205,22.7828,28.255,15.5404,16.853,20.5262,9.9763,13.178,15.5765,14.0646,14.4745,15.7496,19.6667
NCOA6,12.3735,13.2103,12.5861,14.5547,8.8122,16.4557,12.1003,7.0722,10.9041,12.2928,9.8199,13.2233,8.1642,9.9698,10.4975,8.8709,7.7408,8.5655,5.5425,11.6974
C19orf25,7.8831,12.4,9.3533,7.8035,7.9517,8.5529,10.2507,11.2012,8.6595,9.5569,8.084,10.1521,10.8938,9.9679,9.2578,10.6677,7.9748,8.768,15.4589,11.0079
TLCD1,14.9087,12.6993,12.761,28.9103,7.8429,5.8548,11.0565,10.0123,27.4935,13.4292,18.9217,5.3444,23.8688,9.9664,27.4969,9.1776,13.8009,7.5595,10.6205,14.4694
HSH2D,15.9444,8.1088,10.4747,9.5231,11.2479,4.2928,5.9107,6.4369,15.0037,14.4141,8.7735,5.7255,7.8138,9.9613,9.3546,4.269,9.3994,8.392,2.3368,9.3013
PVR,13.7812,12.8635,7.0543,8.4985,6.9002,9.1813,5.7651,5.4693,9.6938,10.7677,8.8909,9.8847,10.0423,9.958,9.6625,8.5647,5.7946,5.1675,6.0354,8.4793
ERP29,216.5188,218.8177,137.1689,145.0565,141.9298,110.5131,159.5954,127.5251,150.3725,157.5506,139.1146,130.4035,185.2553,99.5476,269.9186,139.3518,97.7902,101.3257,178.7852,131.6852
SPCS2,16.9832,13.0296,12.8376,10.256,14.4074,9.629,9.7132,9.0897,14.796,10.2301,10.8764,9.6127,16.8208,9.9544,12.7535,13.3865,8.8798,11.2747,14.1895,8.6845
RPS13,1144.115,590.6723,823.1242,1247.5049,1654.3507,478.3443,1107.9823,1274.944,1063.8223,790.0034,1171.913,649.7089,1131.5889,995.4042,1323.0029,982.512,1249.0374,1637.6237,1792.1183,756.6901
TMEM147,81.1206,72.486,82.5903,86.6887,95.5027,46.614,85.5541,90.505,91.9808,78.6634,76.1809,54.4015,110.2199,99.4963,80.269,83.9338,89.2417,82.294,139.2981,84.7423
MAP3K14,2.836,4.8472,5.6369,6.4349,4.4278,3.6519,4.5154,6.8038,3.1858,5.2205,3.6111,5.0829,6.5756,9.947,1.0896,3.6198,5.2606,5.4829,2.9449,6.0459
PWWP2B,9.6507,9.1274,5.8167,11.1076,8.3614,4.7613,9.7136,12.5592,8.9327,8.3159,8.8078,6.1252,11.0748,9.9463,7.4871,4.7289,6.0753,6.9822,7.8758,8.1803
PHF3,14.788,12.0282,20.08,15.9705,18.1622,20.3824,17.5538,12.5181,14.1277,14.6312,15.5622,17.4071,11.7553,9.9423,14.3023,13.2192,13.076,15.109,8.3757,15.4112
ZDHHC14,3.1684,16.3389,9.0464,5.211,5.5497,14.7763,5.2185,13.7304,8.1137,14.122,5.9894,13.1023,13.1011,9.9393,8.8619,14.5231,7.8102,6.9939,16.791,12.8521
PALLD,18.4477,44.2703,52.9066,32.532,38.8242,82.0853,42.0425,29.2571,20.1133,46.5669,44.2306,48.8862,69.5572,99.3673,36.9109,118.4379,75.6605,65.8132,25.5498,61.6861
RPN2,121.5539,169.8522,126.8769,110.5235,109.8972,118.7799,91.3272,91.281,161.9327,144.472,152.6028,127.7772,137.1294,99.3363,146.1283,110.7895,94.8109,94.9632,147.9545,144.3594
ACADL,39.8546,20.1883,8.8277,3.661,36.6118,19.5205,14.5314,3.8866,10.1795,21.8936,9.408,17.0011,25.0599,9.9334,37.0654,19.559,6.8268,5.6055,11.5893,14.3415
DHRS4-AS1,18.1512,11.6809,12.6889,13.257,16.73,12.5342,15.3789,8.9105,16.8703,11.8999,15.7875,13.3871,12.2351,9.9314,13.3889,9.6794,10.7626,13.7702,8.8673,14.3391
EGLN3,2.9044,1.6484,1.9024,3.3902,3.5711,1.6589,3.5224,9.2862,2.3517,2.7798,2.1574,1.7988,4.4843,9.9303,1.6435,1.5037,3.2988,4.043,0.8307,2.0322
CUX2,20.4037,24.2376,12.3895,13.2658,3.4917,23.5178,14.1849,3.081,17.1403,22.3876,13.4291,22.7135,8.6987,9.9286,24.9797,14.8864,7.959,6.1742,12.4094,9.3271
GMNN,51.9827,32.1167,33.6369,6.2594,34.3943,61.2448,8.401,62.202,33.2055,33.8531,23.8368,38.9094,12.2476,9.9267,15.8107,67.8484,38.9007,31.8412,221.8485,29.8022
MTRR,11.7186,9.6912,13.2387,10.2476,10.0213,13.0529,12.4835,7.9531,8.8175,11.1199,15.0879,10.5966,6.835,9.9262,6.8964,8.8592,10.7511,10.0214,9.6377,12.0074
COX5A,154.9013,85.0521,84.3242,86.5939,105.1716,58.7343,101.1737,84.6365,137.4864,89.4192,141.9353,73.9062,111.312,99.2527,163.6062,100.2312,99.4884,100.8787,118.5976,83.993
ACCS,9.6103,13.9308,9.3222,7.5493,3.5813,5.901,6.7765,10.0123,8.7257,13.282,4.1345,5.6737,10.8074,9.9248,3.381,4.9401,5.507,5.8352,5.8851,9.1524
LOC151009,8.9577,8.2312,7.0315,9.6049,7.746,4.9154,6.8154,10.405,10.3564,10.6613,5.4108,5.8611,5.5671,9.924,4.1618,5.5712,3.9096,5.472,4.2364,6.4942
CIRBP,162.2585,119.5143,87.1058,84.7506,78.4775,79.9826,100.4594,126.389,101.1702,128.6089,96.498,103.666,125.7661,99.2242,64.9251,94.5329,92.1151,81.9311,129.475,115.7383
USP33,10.2668,13.0649,13.3455,11.9878,14.1392,16.7713,14.076,7.4469,12.7392,13.3185,16.3301,13.4986,14.1192,9.9224,21.5179,11.9371,11.0886,14.4538,11.9051,16.3237
MTHFD2,14.7325,6.0898,6.8976,16.5703,34.1043,10.7536,25.6399,6.9118,12.9481,11.1152,12.1421,4.8519,12.8418,9.9223,25.7576,13.1655,12.3754,15.4855,12.1301,22.4491
NFKBIZ,12.8895,4.7793,7.4541,7.8977,8.6669,3.4242,2.0564,12.8005,4.389,5.5126,4.784,4.9254,3.8312,9.922,0.8123,1.8788,8.6421,5.111,0.8176,4.6227
RIPK1,9.173,8.9527,10.4615,8.0588,12.5722,11.8729,8.9432,11.9107,10.2068,13.8918,10.5141,11.2803,9.6416,9.9211,10.3711,10.9423,10.3883,11.1485,6.0587,9.4426
FBXO46,9.3498,6.9509,6.1887,10.9185,5.7179,6.1425,8.1302,7.4919,8.6199,7.5559,5.9257,6.4108,7.6464,9.9158,6.0161,5.1699,6.1775,6.315,5.3328,8.0324
HOMER3,10.8756,9.9605,7.1685,8.1636,11.8745,7.938,17.4968,10.5187,14.0131,8.6836,12.1505,11.1448,11.547,9.9144,10.3754,8.7219,12.8229,14.2727,10.9849,9.3307
TP53INP1,27.8094,6.5819,5.7226,18.1775,20.4235,8.7666,12.8994,5.4487,31.6074,7.7311,14.1318,7.325,7.5344,9.9143,5.1387,3.5628,4.3139,5.5442,8.5973,8.5426
XPOT,23.003,10.6851,14.6145,19.0303,27.6239,14.983,24.0445,7.625,20.9132,15.1735,18.9295,13.6709,15.3275,9.9131,22.1325,12.6205,10.0478,16.042,11.8305,14.8732
XPA,9.3862,9.035,10.6811,11.9029,10.8928,9.9493,8.8507,12.1276,11.8123,10.4532,12.4889,11.7606,12.2783,9.9092,11.3958,14.2036,11.4323,10.3085,13.8442,9.0081
EXTL3,4.7572,5.0825,5.2654,2.7086,5.4134,7.679,5.353,4.536,4.459,6.6083,5.2283,8.5845,8.3509,9.9058,3.7459,5.9523,4.6445,4.1096,2.9561,6.3
MIER2,8.5122,10.6365,11.1491,9.5044,6.0346,10.4503,7.3324,13.1879,8.5718,11.0267,8.8614,9.3813,8.4687,9.9046,7.6117,10.1982,10.8191,8.7984,6.4033,12.2383
LAYN,3.1038,7.0041,15.2809,2.4466,5.6981,9.7161,6.1974,19.6635,5.9318,11.3839,7.3826,11.7084,10.3469,9.9017,4.9766,17.3396,12.6568,13.3989,4.3024,9.7506
ICAM3,9.3663,11.6692,8.0502,6.9327,19.1337,5.6412,10.6659,10.6845,9.0746,8.5101,8.7492,6.0208,12.2924,9.9004,12.4647,7.7993,13.4314,18.6763,11.7543,12.4228
NNT,5.5031,10.7743,10.7266,3.1301,8.5579,14.6678,5.9213,6.9243,3.5925,8.9558,6.7023,10.3398,7.153,9.9,4.0126,10.212,8.4378,8.5279,7.5618,8.5382
SNHG12,8.6336,4.7406,6.2438,7.8307,12.7919,6.0323,9.882,12.8918,8.4171,7.1668,8.0911,5.2225,11.1461,9.8999,9.0263,10.0131,8.8916,12.4302,7.5348,9.3655
SNHG5,9.4716,37.1789,92.2326,100.312,42.5085,15.4247,62.3643,60.684,36.0858,32.9121,40.5062,26.6006,93.6628,98.9878,118.6618,79.5891,53.6066,48.8365,112.6414,58.2819
ZMYM3,16.1019,13.3774,10.39,7.463,6.6353,11.4284,9.408,8.8009,11.1564,12.5002,10.0344,12.8216,9.4274,9.8975,6.8863,7.6386,9.3157,9.029,8.1326,9.0002
TMEM45A,1.9377,4.1977,7.4999,3.1429,6.918,9.3167,3.857,11.3372,4.5641,4.2867,3.947,8.6591,4.8048,9.8936,2.3916,8.6386,5.1822,14.2777,7.3534,7.4864
EIF4E3,4.3837,6.3496,8.746,4.1998,10.6339,10.8862,7.8911,5.9529,5.452,7.8337,6.2976,10.1162,9.089,9.8916,6.2655,10.7679,8.2682,9.7582,4.928,6.768
PCBD1,142.0054,103.3329,105.6554,236.6818,118.2586,95.9576,175.3307,106.7347,208.1431,119.5647,135.1565,120.9453,139.2976,98.9011,191.4675,115.4331,112.7818,114.8849,180.7407,124.9584
CCL20,0.1032,0.2282,1.2213,0.0545,1.4637,0.0892,0.3286,4.8849,0.1485,0.5573,0.2826,0.5386,0.6985,9.8889,0.1767,0.467,1.4035,2.0593,0.5497,0.1083
ROBO4,2.8169,5.9695,5.3818,3.8634,4.9493,7.6699,3.1885,7.8163,2.7665,4.3573,2.9968,4.708,6.194,9.8837,1.7486,3.9902,3.4986,5.1615,3.1267,5.1545
DDX17,177.5434,117.1465,132.361,119.7922,107.7721,150.8264,103.9349,121.7765,129.6361,184.4455,129.8466,150.3887,101.5162,98.8146,82.7968,103.2304,108.5541,101.8743,67.7081,127.5806
SOD2,23.4358,47.3821,79.3775,40.6234,128.8494,80.585,55.6488,42.4704,36.0859,40.8143,101.4341,48.1183,53.0902,98.8028,36.649,46.8096,132.3234,104.11,52.9596,119.5125
ABI1,13.9193,11.7636,13.3481,13.1773,16.4573,15.5197,18.4466,10.8848,10.486,11.667,11.7405,12.1319,9.6823,9.8801,12.0348,9.057,12.5624,12.6724,11.3451,12.0596
LOC440910,55.3753,6.5787,1.1847,6.3332,3.3567,4.626,1.3209,0.2039,56.5589,9.9048,1.7173,3.8819,1.4038,9.8792,0.7999,2.6507,0.3434,0.2601,1.8271,1.2326
EXOSC8,15.5279,11.3111,22.6438,16.6058,12.7168,12.6975,14.8377,17.3822,13.2066,19.4878,16.6719,15.4475,15.7835,9.8787,15.9382,16.9588,18.4141,20.2967,15.7363,14.6498
MSN,25.5188,55.0064,61.9268,39.6865,72.7007,84.8666,61.4249,54.8636,38.3157,51.0262,47.6575,74.9248,60.4688,98.7645,23.3197,59.2971,79.5606,69.952,36.0477,73.263
CDC37L1,7.5028,5.8924,7.6759,5.4469,6.7151,7.1314,7.172,5.9196,7.084,5.727,6.0686,5.8614,8.9887,9.8752,7.6974,11.1215,4.7136,6.4927,9.5994,5.8692
ICA1,35.2233,18.9047,13.703,14.6221,27.3085,17.6586,17.2571,14.0855,34.3798,24.4455,27.0192,19.5742,33.7381,9.8733,31.0503,15.0343,14.9016,13.5668,17.6623,22.8949
SEMA3F,6.8662,13.5101,16.5257,15.6349,10.4308,12.3908,8.6665,16.9788,8.3547,18.6086,10.2626,13.4711,16.1781,9.8682,12.2968,7.7708,18.5863,14.8949,9.854,14.4194
SLC36A1,28.329,8.719,3.2968,6.3532,7.1748,8.3409,10.02,5.7876,30.9466,9.1696,6.7486,5.079,2.6476,9.8668,2.8771,2.5873,3.9206,3.111,3.3788,5.6187
CCDC127,13.1886,15.7875,12.0116,12.2467,9.28,12.2922,16.1801,10.9408,11.6054,13.7415,13.3479,13.1361,16.5009,9.8639,17.6585,13.9649,12.6903,8.6025,13.5378,10.3455
CDC37,79.2816,97.8746,87.9538,87.0481,78.8686,79.1199,72.2541,111.5649,80.8314,88.0887,81.8402,85.2603,104.1216,98.579,81.6365,86.6577,79.6959,83.2014,95.2992,93.6929
CWC25,9.7686,9.989,9.1732,6.7771,8.8662,9.9918,7.081,14.1949,11.0801,13.3367,8.8642,9.845,10.9351,9.8564,7.0877,11.5641,13.3316,10.3414,9.0446,10.0955
VPREB3,0.1094,2.5812,1.3874,0.9629,9.0473,2.9311,1.095,0.6545,0.5946,0.3581,0.2663,2.215,2.6094,9.8563,0.0624,0.4951,1.7006,2.9737,0.5181,1.3783
ATG4D,14.8112,10.5022,9.7369,13.7628,10.6355,9.2751,7.611,13.0936,12.0293,11.6224,9.8395,9.4509,10.2124,9.8511,9.6857,10.0014,7.6182,10.2182,8.8521,10.0727
RNF208,6.0651,13.519,14.466,25.2493,9.2127,10.8141,6.8311,11.978,13.1336,11.7077,11.8139,12.4933,12.2962,9.848,5.7139,10.2935,8.2626,9.099,12.4472,10.7875
CEPT1,13.2486,8.9481,14.2971,9.806,18.5104,10.8646,13.7277,12.8748,15.2383,13.3118,12.323,12.0049,11.2412,9.846,13.3354,11.2275,12.1188,16.7262,11.6645,11.847
ACOX1,16.1387,15.1803,11.2235,11.774,10.5168,13.9211,12.5554,8.971,13.7022,12.7638,12.0814,12.7524,12.8041,9.8415,15.3347,11.6053,9.3435,8.0049,10.3481,11.4843
CNOT10,12.3304,9.772,11.0506,12.5364,12.1718,11.8712,11.7328,12.4564,13.3823,10.3186,14.1491,12.2001,10.9587,9.8403,14.9563,12.2939,9.7345,12.0449,10.1411,11.6379
PSMB1,94.9835,70.1979,95.9256,78.532,97.3044,65.617,50.0862,83.0072,90.939,55.6172,115.2992,72.0122,120.3528,98.379,94.784,92.0999,84.3824,96.31,97.2352,76.7639
SSFA2,8.5518,10.6119,14.6017,7.6574,12.7226,16.5496,9.7993,6.0315,6.1687,10.133,10.0554,10.3744,11.9858,9.8341,12.0966,16.8631,7.8034,10.0646,5.4828,10.5127
C1GALT1C1,17.3277,14.0884,20.4401,6.6351,18.2381,16.0503,12.423,13.1687,18.0109,15.9176,17.1017,12.2073,17.6808,9.832,18.0702,14.2454,17.4305,19.0901,15.6044,14.3107
EFR3A,12.1492,12.6127,13.5627,12.729,19.7414,22.4567,15.7371,6.2697,12.223,14.848,17.7912,14.3237,10.3287,9.831,13.836,17.8271,15.6489,17.7649,10.2382,13.1247
BNIP2,8.7305,7.0624,12.2731,8.3573,12.4385,12.2617,8.3669,9.1391,8.7203,9.7617,10.413,12.0092,8.8751,9.8292,3.9775,9.8521,8.8582,10.6087,8.3419,9.8365
CWF19L2,7.2668,7.0776,10.3223,8.6393,11.2267,7.6932,8.8899,14.3459,11.1533,11.8451,8.7737,10.167,13.7062,9.8281,9.773,13.3608,14.6152,14.1804,9.1144,6.6235
VEZT,16.585,9.2171,14.579,13.868,17.7102,15.8007,15.4201,8.6801,14.6804,12.889,12.9095,13.6304,9.7677,9.8265,11.4645,10.0348,9.9011,13.4173,8.2822,13.6321
GNA13,7.7216,7.1957,10.8518,8.0607,16.6218,14.2321,11.6539,6.8742,7.5372,11.3235,6.8471,9.5542,8.759,9.8258,7.4191,9.511,12.3592,12.4304,5.1767,10.0654
RABEPK,8.7281,6.5798,8.4226,7.4504,8.6427,5.2807,6.2675,9.8909,7.5246,6.8392,7.7912,7.0217,9.4484,9.8248,8.2023,7.7813,6.7295,9.6794,9.5595,7.5267
UBR7,14.7668,11.0131,10.8987,11.2025,12.979,12.4305,12.5644,8.4989,13.0178,9.5727,11.1481,11.7068,10.6856,9.8233,14.7777,10.0228,9.2238,10.3595,8.3353,11.223
SPEN,11.6296,10.0048,10.8153,13.7047,6.9534,12.1222,10.2137,9.5261,8.8863,11.5324,7.5683,11.5073,6.6269,9.8229,7.1592,6.227,7.712,8.0496,3.6253,10.1097
HDAC11,6.1336,8.4537,8.5358,4.9583,5.2396,6.8597,6.3936,8.1764,7.0935,8.5254,6.9442,7.947,8.7371,9.8215,4.7539,8.0551,7.6383,7.446,7.8225,5.7583
FGF13,7.8912,7.7335,9.6813,8.4859,16.6045,11.6013,18.2469,6.8901,17.2735,11.747,11.9664,8.18,11.1359,9.8207,16.281,9.9748,9.0203,12.4768,6.9252,11.5628
SIRT6,10.3906,13.0701,11.7945,11.1524,9.5808,8.8282,8.7036,13.2335,9.785,10.1347,10.5354,11.1028,11.671,9.8181,9.3132,12.1347,12.1639,11.7932,16.3165,12.0739
SIPA1L1,7.3008,5.9965,4.9786,4.6311,5.1578,7.5603,5.4444,4.994,5.8545,4.928,4.9043,6.3459,6.1945,9.8175,4.1223,5.755,5.9443,6.1709,2.8166,6.5843
FABP5,521.3253,17.9234,15.0752,339.0889,688.8081,18.7962,366.0641,42.2365,148.3504,71.5614,20.79,13.7051,557.6398,981.5835,1151.3414,118.3399,32.7456,57.5612,35.8449,103.7351
SMOX,16.8169,13.1106,9.2926,12.5773,5.3659,16.9492,8.0153,9.4886,13.1234,11.7817,17.2315,13.165,19.8694,9.8141,25.4858,20.7617,7.6291,11.753,28.1641,15.882
KIAA1143,11.5829,7.6798,13.7876,12.5261,18.641,14.904,17.5308,11.4687,15.5404,11.4998,16.2262,14.3911,10.8013,9.8137,13.3001,11.7317,14.095,14.4483,8.6332,11.33
SOAT1,22.0316,23.0151,28.3001,23.1932,36.7897,26.4409,30.0473,9.4489,16.9035,20.526,21.5429,18.3217,14.8167,9.8119,28.4568,12.5033,11.162,10.1826,18.5259,16.419
MAOB,11.9518,42.1127,43.6167,13.5158,17.1181,77.2512,64.1935,28.9224,38.3069,55.293,79.8332,79.1112,58.9931,98.074,27.2841,99.2757,65.3747,51.2206,35.9843,39.8036
C9orf9,8.9234,7.9192,7.8227,6.7068,4.1379,8.4935,10.6202,8.6025,6.2648,7.5718,7.7024,12.2256,7.924,9.8021,5.1522,9.1408,10.3118,6.8524,14.4719,8.1274
SCAF4,10.8132,10.6194,10.1342,15.2077,7.7179,13.9732,10.4062,9.1562,10.2447,10.145,10.0566,11.8695,7.633,9.802,8.4362,7.8005,6.8048,8.1265,5.4291,10.2529
PI4K2A,8.7528,7.9829,6.8652,7.762,6.2154,7.9837,7.6224,6.539,6.2793,8.1594,6.3888,8.4585,8.9833,9.7995,5.0843,7.4918,8.4346,7.9744,7.0938,9.5665
NCK1,13.4721,9.7662,20.9828,14.9925,17.8227,18.2571,18.284,16.3862,17.567,15.3023,17.7533,15.0021,11.8752,9.7991,15.8251,13.1513,17.8808,27.1371,14.9004,16.173
SH3BP5L,11.7602,12.892,9.6241,9.6695,8.7962,11.1978,8.7508,8.3339,8.6093,11.7814,10.6135,10.6598,9.3265,9.7989,8.14,8.4296,7.8156,8.4745,8.1169,10.2133
GRIPAP1,12.8261,11.6898,9.297,6.0171,8.406,9.3236,7.0096,9.1981,11.4714,9.1255,9.5418,10.1939,11.2652,9.7904,8.9139,8.8556,9.5194,8.1504,8.3592,9.5023
DUSP14,9.5241,10.0982,13.8707,21.8026,16.6334,5.9385,7.219,15.5862,16.9794,13.0517,15.9757,14.7559,16.8783,9.7853,9.9467,8.5246,8.7408,7.8351,15.5373,11.6314
PTPRK,6.2115,10.0343,15.3698,7.7,17.3574,19.1575,10.002,12.945,9.1895,9.6769,15.0426,13.1397,7.0497,9.7848,7.0399,7.3418,11.053,13.8011,6.7228,16.0741
MYO1E,7.862,8.3461,6.1618,7.6928,8.8213,8.1084,9.715,7.1074,6.5054,6.1221,10.816,5.2341,5.8939,9.7834,5.8349,4.2981,6.3323,5.3277,4.9711,9.4993
UFC1,106.4625,89.8077,101.2701,92.993,101.302,69.4442,94.2586,107.1494,114.4819,98.4468,111.7864,82.9326,127.6706,97.8324,128.164,105.2659,107.8578,125.5214,138.5304,107.2058
LSM7,144.4653,101.8284,85.9432,90.669,113.78,65.3439,79.0424,135.4118,124.1797,90.533,120.9295,85.7893,116.4376,97.8208,104.1873,115.6173,96.3371,126.987,161.5063,95.8505
DDX24,56.3044,83.9851,90.5723,65.6751,48.7816,78.6037,54.6868,69.862,58.7984,65.3697,67.1874,74.8435,65.8235,97.7891,49.6805,91.3618,59.6225,56.9897,63.7013,68.7115
DNAJC15,14.8502,7.3395,6.8469,2.6242,8.8352,8.1546,7.2187,9.0817,3.8162,5.7136,5.5419,12.8279,6.6376,9.7786,3.4873,12.0409,17.1653,20.9162,6.9328,7.017
EPC1,9.4387,10.7219,14.6414,10.6022,14.0858,17.1885,13.5017,11.2677,10.1489,10.9526,12.7632,13.6111,8.6501,9.7652,11.8664,9.5013,9.1084,10.0463,10.6999,11.8765
INTS8,12.3039,7.9629,10.3384,14.7127,13.8207,9.4502,12.6984,8.7272,18.6488,10.2164,11.6015,9.8557,8.3461,9.7553,8.7418,8.9126,8.5428,13.7957,7.8649,9.782
SLIT2,6.0603,5.776,6.3141,4.7965,3.9423,7.1484,6.3072,3.3831,1.7441,4.0894,3.9519,5.918,3.9025,9.754,1.4468,4.2507,1.7365,2.7905,1.394,4.1348
NIPSNAP3A,13.9234,9.7818,10.8638,8.1097,19.6241,9.9654,9.7353,6.8671,13.4642,9.4832,9.5637,6.9492,10.984,9.7535,7.2407,5.3612,15.5094,12.1173,13.4013,6.524
CTSZ,58.3399,92.3928,68.0242,63.751,104.3443,60.5588,169.951,80.7805,76.7037,63.5638,66.84,75.4432,102.0123,97.5022,43.7635,81.8591,121.7435,121.3876,90.2552,73.2336
VPS16,12.7133,14.1765,10.2083,7.3101,8.3618,7.9209,8.4689,10.0892,10.7755,9.9262,8.143,9.3152,11.8062,9.7478,11.0444,8.9334,9.2586,9.5207,11.6084,9.6391
AP5M1,10.5708,9.5619,11.6074,10.6836,15.094,14.7575,11.227,7.3675,11.4289,10.543,10.9172,13.3586,10.7642,9.7451,13.085,8.0689,11.5422,14.2755,8.7749,9.9755
LCP2,6.1653,7.8338,9.3625,10.5051,23.1591,13.9842,16.7346,8.9502,9.0036,8.2846,3.381,7.8806,7.6857,9.7423,4.8512,9.8219,29.4909,25.4609,10.9371,17.529
WBSCR17,12.6118,9.5174,7.3384,8.4225,2.3254,9.3715,5.027,3.2498,8.664,10.0335,8.4595,12.913,16.8318,9.7423,14.6645,13.3624,6.687,8.6221,11.5491,11.3008
NDUFA1,97.7295,71.2323,70.0986,30.2069,101.9764,36.2076,58.8901,93.0136,114.4278,62.1386,77.456,55.1176,117.4733,97.4161,107.1625,97.5631,113.3563,122.4869,164.2906,57.8516
TFCP2,14.3587,11.6593,12.4349,12.6011,12.6425,14.1928,11.0709,11.9695,13.915,12.7081,13.2395,15.7876,11.354,9.7396,12.0368,11.1244,10.9715,12.4021,7.6869,11.968
SOLH,12.4409,6.9139,5.9279,7.9659,8.8375,7.3118,5.234,8.3708,6.867,7.6735,6.7216,7.1056,7.5518,9.738,5.4229,5.0184,5.7142,6.7909,3.8175,8.3981
SOX15,2.4576,11.2166,16.6826,3.626,2.3478,10.2215,3.8116,19.108,4.1086,12.8819,7.8791,13.1228,6.2892,9.737,2.8586,12.2434,11.7048,7.1105,16.4164,8.7136
METTL16,8.4136,7.6709,10.4951,6.314,7.9193,9.4964,8.638,12.0817,6.3521,9.2849,9.4679,11.0725,10.4629,9.7323,8.7552,10.9213,8.2566,8.8101,6.9332,7.8177
CLTB,51.4518,59.5665,48.1866,45.4327,39.7917,48.1058,39.781,69.172,56.9101,50.7072,54.0172,54.6394,78.9598,97.3129,46.3086,89.3762,59.0321,68.9944,100.2955,65.3894
SHB,1.4918,9.0262,6.6767,3.616,2.5312,5.9746,2.8299,9.0639,3.6546,7.2252,7.6995,7.9935,6.5295,9.7291,2.8065,6.6493,8.066,7.3111,5.5943,5.9986
FAM53B,7.3725,4.5006,5.1605,8.5596,12.2459,9.3874,9.7578,9.408,4.5342,7.2259,8.0765,9.6916,7.7183,9.729,3.5137,5.483,6.6587,6.2343,3.9936,8.5088
RRN3,12.9359,11.7202,11.9046,13.0847,14.3868,14.6308,9.2706,7.976,10.7634,10.3317,12.0459,11.1542,8.9043,9.7262,11.4068,9.4432,7.7672,8.841,9.5702,10.9056
LENG9,17.2613,10.4766,6.6642,10.4879,7.1246,5.2594,5.3094,5.0836,14.8706,12.2308,8.9621,6.2181,18.3133,9.7254,26.7631,8.4108,7.1059,6.2391,7.2719,10.9631
GREB1,68.6369,61.3367,23.6013,44.1913,18.6446,46.359,28.1443,7.0449,32.8884,46.9983,17.5734,29.4104,18.4451,9.725,50.8715,28.4962,5.2907,5.4853,14.5012,20.057
ARHGAP27,9.3576,12.9277,9.4933,7.7034,8.422,7.7679,6.5927,12.6384,9.1453,11.469,6.7303,8.4219,9.975,9.7218,3.2922,4.1434,9.8938,8.3494,6.3109,8.0866
SSU72,139.1066,93.5243,105.4492,112.293,101.1021,93.1969,117.3959,126.1411,108.5722,104.1914,116.9438,108.5353,122.2988,97.2025,142.1351,106.4994,110.7829,113.8649,126.0453,98.0842
