source,target
ZHX2,ABL1
RYBP,ABL1
CDK20,ABL1
DYT10,ABL1
ABI3,ABL1
AHI1,ABL1
PAK1IP1,ABL1
ARHGAP24,ABL1
ITCH,ABL1
IL4I1,ABL1
GSTK1,ABL1
POTEM,ABL1
BCR,ABP1
FLNB,ABP1
DYT10,ABP1
ABL1,ABL2
GHRH,ABL2
RNPEP,ABL2
TRERF1,ABL2
MIR200A,ABL2
ADA,ABO
ALPPL2,ABO
PPARA,ACAA1
ATIC,ACACA
CCND1,ACACA
BDNF,ACACA
BRCA1,ACACA
CFTR,ACACA
ERBB2,ACACA
FASN,ACACA
FOXM1,ACACA
GCG,ACACA
HIF1A,ACACA
INS,ACACA
LEP,ACACA
MYF6,ACACA
MYOD1,ACACA
NME1,ACACA
NME2,ACACA
ENPP3,ACACA
PPARG,ACACA
PRKAA1,ACACA
PRKAA2,ACACA
PRKAB1,ACACA
PRL,ACACA
RARRES1,ACACA
RPS6KB1,ACACA
SCD,ACACA
STK11,ACACA
MLX,ACACA
TNF,ACACA
UCP2,ACACA
VEGFA,ACACA
VEGFB,ACACA
TMSB10,ACACA
ADIPOQ,ACACA
NUAK1,ACACA
RAPGEF3,ACACA
CAMKK2,ACACA
SIRT3,ACACA
MLYCD,ACACA
PDP1,ACACA
C1QTNF6,ACACA
ATIC,ACACB
BDNF,ACACB
INS,ACACB
MYOD1,ACACB
NRF1,ACACB
PRKAA1,ACACB
SREBF1,ACACB
USF1,ACACB
PPARA,ACADL
COX6A1,ACADM
ESRRA,ACADM
KAT2A,ACADM
HSPD1,ACADM
NDUFB5,ACADM
NDUFS3,ACADM
PPARA,ACADM
PPARGC1A,ACADM
CYCS,ACADM
ACADM,ACADS
LDHD,ACADS
ACADM,ACADVL
ECHS1,ACADVL
MYLK,ACADVL
ACAT2,ACAT1
NR6A1,ACAT1
INS,ACAT1
JAK2,ACAT1
LEP,ACAT1
MSR1,ACAT1
PIK3CG,ACAT1
PPARA,ACAT1
PPARG,ACAT1
SMS,ACAT1
ADAM17,ACAT1
TGFB1,ACAT1
TNF,ACAT1
DGAT1,ACAT1
ADIPOQ,ACAT1
UTS2,ACAT1
ACAT1,ACAT2
HNF1A,ACAT2
DGAT1,ACAT2
HSPA8,ASIC2
PICK1,ASIC2
ASIC2,ASIC1
NGF,ASIC1
PICK1,ASIC1
AFP,ACHE
APEH,ACHE
APP,ACHE
BCHE,ACHE
CAT,ACHE
CPOX,ACHE
GAST,ACHE
GYPA,ACHE
HTR1F,ACHE
IL1A,ACHE
IL1B,ACHE
IL6,ACHE
LDHBP2,ACHE
LPO,ACHE
SMAD3,ACHE
NFATC3,ACHE
NFATC4,ACHE
NGF,ACHE
PDC,ACHE
POMC,ACHE
MAPK8,ACHE
PRODH,ACHE
S100A12,ACHE
SLC4A2,ACHE
SPTA1,ACHE
SST,ACHE
TGM1,ACHE
WAS,ACHE
COLQ,ACHE
NPEPPS,ACHE
GAL,ACHE
CUTA,ACHE
PDIA2,ACHE
SLC38A5,ACHE
CPO,ACHE
CADM4,ACHE
GSTK1,ACHE
AGRN,ACHE
AKT1,ACLY
C3,ACLY
FASN,ACLY
FLT4,ACLY
INS,ACLY
NEUROD1,ACLY
PRL,ACLY
SREBF1,ACLY
SREBF2,ACLY
TNF,ACLY
SLC17A5,ACLY
EPO,ACO1
HIF1A,ACO1
IL6,ACO1
FOXK2,ACO1
IREB2,ACO1
ROS1,ACO1
STAT3,ACO1
NUBP2,ACO1
DYT10,ACO1
PNO1,ACO1
ADRA1D,ACR
EGF,ACR
ESR1,ACR
IFNG,ACR
IL6,ACR
SERPINA5,ACR
VDR,ACR
ACADVL,ACOX1
AGXT,ACOX1
CPT1B,ACOX1
LAIR2,ACOX1
LDLR,ACOX1
LEP,ACOX1
ME2,ACOX1
MYLK,ACOX1
PPARA,ACOX1
PPARD,ACOX1
SPTLC1,ACOX1
LPIN1,ACOX1
ABO,ACP1
CYBA,ACP1
DUOX2,ACP1
IFI30,ACP2
APH1B,ACP2
MARK3,ACP5
MITF,ACP5
SPI1,ACP5
TFE3,ACP5
TFEB,ACP5
FLCN,ACP5
KLK3,ACPP
BACH1,ACPP
CD9,ACPP
CTSS,ACPP
EDN1,ACPP
EDN2,ACPP
EDN3,ACPP
EGF,ACPP
FGF2,ACPP
JUN,ACPP
TGFB1,ACPP
NPEPPS,ACPP
PDAP1,ACPP
PLXNA3,ACPP
CTNNBL1,ACPP
BACH2,ACPP
POTEM,ACPP
PTPN22,ACRV1
HDAC9,ACTA1
SIRT2,ACTA1
POTEM,ACTA1
MDM4,ACTA2
TGFB1,ACTA2
SERPINA3,ACTB
APP,ACTB
CCKAR,ACTB
CSF3,ACTB
CTNND1,ACTB
ESR2,ACTB
F2RL1,ACTB
GAPDH,ACTB
HIF1A,ACTB
HPRT1,ACTB
IFNA1,ACTB
IFNG,ACTB
IL1A,ACTB
IL2,ACTB
IL4,ACTB
IL6,ACTB
IL15,ACTB
JAK1,ACTB
LTK,ACTB
CIITA,ACTB
PDE6D,ACTB
SLPI,ACTB
SNCA,ACTB
SPTBN1,ACTB
TMPO,ACTB
TNF,ACTB
TP53,ACTB
YWHAZ,ACTB
DYRK3,ACTB
TUBA1B,ACTB
POSTN,ACTB
IGF2BP3,ACTB
TIPARP,ACTB
TNF,ACTC1
SERPINA3,ACTG1
ACTC1,ACTG1
RUNX1,ACTG1
TNF,ACTG1
RECQL5,ACTG1
SIRT1,ACTG1
MYOCD,ACTG2
CDH1,ACTN4
E2F1,ACTN4
EGF,ACTN4
INS,ACTN4
LMX1B,ACTN4
TNF,ACTN4
TRPC6,ACTN4
ATF1,ACTL6A
ACTN4,ACTN1
VCL,ACTN1
TTN,ACTN2
ACVR1B,ACVR1
APOA1,ACVR1
ENG,ACVR1
FKBP1AP4,ACVR1
IL1B,ACVR1
SMAD6,ACVR1
TGFB1,ACVR1
FST,ACVR1
A2M,ACVR1B
SERPINA3,ACVR1B
ACVR1,ACVR1B
ACVR2A,ACVR1B
AMH,ACVR1B
BCL2,ACVR1B
BMP2,ACVR1B
BMP3,ACVR1B
