source,target
ATF4,HRK
ATF4,HSPA5
ATF4,IGFBP1
ATF4,IL6
ATF4,IRF7
ATF4,MAP1LC3B
ATF4,MCL1
ATF4,NDC80
ATF4,NUPR1
ATF4,PLAU
ATF4,PTGS2
ATF4,S100P
ATF4,SIGMAR1
ATF4,SIRT1
ATF4,SIRT1
ATF4,SIRT2
ATF4,TNFRSF10B
ATF4,TRIB3
ATF4,TRIB3
ATF4,VEGFA
ATF4,VEGFA
ATF5,BCL2
ATF5,CCND3
ATF5,CREB1
ATF5,CYP2B6
ATF5,DISC1
ATF5,EGR1
ATF5,ID1
ATF5,SH2D1A
ATF6,ATP2A2
ATF6,BGLAP
ATF6,DDIT3
ATF6,DNAJC3
ATF6,HSPA5
ATF6,MAFA
ATF6,NR0B2
ATF6,NUCB1
ATF6,PDX1
ATF6,RTN3
ATF6,SRF
ATF6,STARD4
ATF6,WBP1
ATF6,XBP1
ATF7,ERBB2
ATF7,TAF12
ATM,APLF
ATM,BAX
ATM,BCL2
ATM,CDKN1A
ATM,CFLAR
ATM,CFLAR
ATM,DUSP1
ATM,FAS
ATM,FOXM1
ATM,GADD45A
ATM,IGF1R
ATM,KLRK1
ATM,MCL1
ATM,MTF1
ATM,PBK
ATM,PCNA
ATM,PMAIP1
ATM,PVR
ATM,PVR
ATM,SLC2A1
ATM,SP1
ATM,SP1
ATM,TERF1
ATM,TNFRSF10B
ATM,VEGFA
ATOH1,HES6
ATOH1,MUC2
ATRX,HBA1
ATRX,HBA2
BACH1,HMOX1
BACH1,HMOX1
BACH1,MMP1
BACH2,BCL2
BACH2,IL2
BACH2,XBP1
BARD1,ESR1
BARX2,ESR1
BATF,CD2
BCL11A,GATA1
BCL11A,GATA1
BCL3,CTCF
BCL3,EGFR
BCL3,MYB
BCL3,NFKB1
BCL3,NFKB1
BCL3,RELA
BCL6,BCL2L1
BCL6,BCL6
BCL6,CCND2
BCL6,CD80
BCL6,CDKN1A
BCL6,CDKN2B
BCL6,CHEK1
BCL6,FCER2
BCL6,HDAC7
BCL6,IRF4
BCL6,LITAF
BCL6,MYC
BCL6,NFKB1
BCL6,PDCD2
BCL6,PDCD2
BCL6,STAT3
BCL6,SUMO1
BCL6,XBP1
BDP1,MYC
BDP1,RB1
BDP1,TP53
BHLHE41,CCND1
BHLHE41,MLH1
BIN1,MYC
BMI1,TERT
BPTF,HOXC8
BRCA1,AREG
BRCA1,ASPM
BRCA1,ATM
BRCA1,BACH1
BRCA1,BRCA2
BRCA1,CASR
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CDH3
BRCA1,CDH3
BRCA1,CDKN1A
BRCA1,CDKN1A
BRCA1,CDKN1B
BRCA1,CDKN1B
BRCA1,CTSD
BRCA1,CXCL1
BRCA1,CYP19A1
BRCA1,CYP19A1
BRCA1,CYP1A1
BRCA1,CYP1B1
BRCA1,DDB2
BRCA1,DDIT3
BRCA1,E2F6
BRCA1,EGFR
BRCA1,EGR1
BRCA1,EP300
BRCA1,EP300
BRCA1,ESR1
BRCA1,FOS
BRCA1,FOXC1
BRCA1,FOXC2
BRCA1,FST
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,HIF1A
BRCA1,HMGA2
BRCA1,HNRNPA2B1
BRCA1,HSPA5
BRCA1,IFNA1
BRCA1,IGF1
BRCA1,IGF1R
BRCA1,IRF7
BRCA1,IRF9
BRCA1,JAK1
BRCA1,JAK2
BRCA1,KHSRP
