source,target
HMX3,SMAD3
RBM24,SMAD3
KLC4,SMAD3
BAI3,SMAD3
ZNF423,SMAD3
NYAP1,SMAD3
NXPH4,SMAD3
TBC1D24,SMAD3
MADD,SMAD3
DLGAP4,SMAD3
ATP2A1,SMAD3
CACNB2,SMAD3
KIAA1598,SMAD3
MAP3K13,SMAD3
DENND1B,SMAD3
BMP5,SMAD3
NOS3,SMAD3
GRIA3,SMAD3
FAM160A2,SMAD3
ROGDI,SMAD3
VSTM2L,SMAD3
MIR196A2,SMAD3
CADM3,SMAD3
SCGB1C1,SMAD3
MGC45800,SMAD3
JARID2,SMAD3
RBM3,SMAD3
MEIS1,SMAD3
NEUROG1,SMAD3
AGAP3,SMAD3
FAM178A,SMAD3
RUNX1,SMAD3
KAT6A,SMAD3
KCNC2,SMAD3
LINC00886,SMAD3
TPM2,SMAD3
PDE4A,SMAD3
LPPR1,SMAD3
ATF7IP,SMAD3
LINC00486,SMAD3
MSL1,SMAD3
EGOT,SMAD3
SETD5,SMAD3
GPR21,SMAD3
RABGAP1,SMAD3
CDKN1A,SMAD3
SCFD1,SMAD3
CHD9,SMAD3
PCDHGC4,SMAD3
WASF2,SMAD3
ZMIZ1,SMAD3
SKIL,SMAD3
DBN1,SMAD3
TFAP2D,SMAD3
PDE1C,SMAD3
CCNB3,SMAD3
LINC00936,SMAD3
OLIG3,SMAD3
GTDC1,SMAD3
NDST2,SMAD3
HOXA5,SMAD3
SNPH,SMAD3
MIR9-2,SMAD3
IRS1,SMAD3
R3HDML,SMAD3
SIPA1,SMAD3
MIR10A,SMAD3
NAV2-AS5,SMAD3
GPR148,"PXR, CAR, LXR, FXR"
NTRK3,"PXR, CAR, LXR, FXR"
PSTPIP1,"PXR, CAR, LXR, FXR"
SMAD3,"PXR, CAR, LXR, FXR"
CUL7,"PXR, CAR, LXR, FXR"
LCNL1,"PXR, CAR, LXR, FXR"
ITGA5,"PXR, CAR, LXR, FXR"
PNMT,"PXR, CAR, LXR, FXR"
ABCB8,"PXR, CAR, LXR, FXR"
BRCA1,"PXR, CAR, LXR, FXR"
CCDC167,Msx-2
MIR4794,Msx-2
