source,target
ARFGAP3,ARFGAP1
AP2S1,ARFGAP1
AP2M1,ARFGAP1
ARF6,ARFGAP1
ARF4,ARFGAP1
CLTB,ARFGAP1
COPG1,ARFGAP1
AP2A2,ARFGAP1
COPB2,ARFGAP1
KDELR1,ARFGAP1
NECAP1,ARFGAP1
ITSN2,ARFGAP1
RAC1,ARFGAP1
AP2A1,ARFGAP1
COPA,ARFGAP1
GBF1,ARFGAP1
SGIP1,ARFGAP1
EPS15,ARFGAP1
ITSN1,ARFGAP1
AAK1,ARFGAP1
KDELR3,ARFGAP1
NECAP2,ARFGAP1
REPS1,ARFGAP1
FCHO2,ARFGAP1
RHOA,ARFGAP1
COPG2,ARFGAP1
HRAS,ARFGAP1
ARFGAP2,ARFGAP1
GGA3,ARFGAP1
ARF1,ARFGAP1
CLTCL1,ARFGAP1
FCHO1,ARFGAP1
CLTC,ARFGAP1
AP2B1,ARFGAP1
ARF5,ARF4
PKD2,ARF4
COPB1,ARF4
ARF3,ARF4
RAB11A,ARF4
RAB11FIP3,ARF4
PLD2,ARF4
ARFGAP3,ARF4
EGF,ARF4
EGFR,ARF4
RHO,ARF4
ARFGAP1,ARF4
RAB28,ARF4
GBF1,ARF4
ASAP1,ARF4
ARF1,ARF4
RAB3IP,ARF4
ARF5,COPB1
ARF3,COPB1
COG3,COPB1
KDELR2,COPB1
COPE,COPB1
ARFGAP3,COPB1
ARCN1,COPB1
TMED10,COPB1
ARF4,COPB1
ARFGAP1,COPB1
COPG1,COPB1
COPB2,COPB1
KDELR1,COPB1
TMED9,COPB1
SEC23B,COPB1
COG2,COPB1
COPA,COPB1
GBF1,COPB1
COPG2,COPB1
ARFGAP2,COPB1
ARF1,COPB1
USO1,COPB1
COPZ1,COPB1
COPZ2,COPB1
ARF5,CYTH3
GNGT1,CYTH3
CYTH4,CYTH3
GNA12,CYTH3
ARF6,CYTH3
CYTH1,CYTH3
FRMD4B,CYTH3
RHOA,CYTH3
GNA13,CYTH3
CYTH2,CYTH3
ARF1,CYTH3
GNB1,CYTH3
M6PR,VTI1A
VAMP3,VTI1A
SNAP29,VTI1A
VPS18,VTI1A
BET1,VTI1A
YKT6,VTI1A
GOSR2,VTI1A
GOSR1,VTI1A
VAMP4,VTI1A
STX6,VTI1A
COG3,VTI1A
STX17,VTI1A
VAMP7,VTI1A
NAPA,VTI1A
VAMP8,VTI1A
VPS33A,VTI1A
VPS51,VTI1A
STX5,VTI1A
TSNARE1,VTI1A
STX8,VTI1A
GCC2,VTI1A
VPS41,VTI1A
VAMP2,VTI1A
COG4,VTI1A
RAB43,VTI1A
STXBP5,VTI1A
VPS39,VTI1A
STX7,VTI1A
STX16,VTI1A
GOLGA1,VTI1A
STX12,VTI1A
VPS16,VTI1A
NSF,VTI1A
COG6,VTI1A
VPS52,VTI1A
SEC22B,VTI1A
STX10,VTI1A
VPS11,VTI1A
NAPB,VTI1A
M6PR,IGF2R
PLIN3,IGF2R
CPD,IGF2R
CTSD,IGF2R
AP3B1,IGF2R
SORT1,IGF2R
AP4E1,IGF2R
VPS35,IGF2R
IGF1,IGF2R
PLG,IGF2R
GGA2,IGF2R
AP3S1,IGF2R
PLAUR,IGF2R
GGA1,IGF2R
DPP4,IGF2R
SNAPIN,IGF2R
AP4B1,IGF2R
CREG1,IGF2R
VPS26A,IGF2R
SNX5,IGF2R
SNX2,IGF2R
AP1G1,IGF2R
IGF2,IGF2R
YIPF6,IGF2R
GGA3,IGF2R
M6PR,GZMB
CD4,GZMB
TBX21,GZMB
NKG7,GZMB
IFNG,GZMB
SRGN,GZMB
NOTCH2,GZMB
LMNB1,GZMB
EP300,GZMB
GNLY,GZMB
CASP10,GZMB
MAML1,GZMB
CASP3,GZMB
BID,GZMB
RBPJ,GZMB
CASP8,GZMB
PARP1,GZMB
LMNA,GZMB
MCL1,GZMB
CASP7,GZMB
CD2,GZMB
DFFA,GZMB
SERPINB9,GZMB
CD8A,GZMB
CREB1,GZMB
FGFR1,GZMB
PRF1,GZMB
SHC1,GZMB
MAMLD1,GZMB
MAML3,GZMB
MAML2,GZMB
M6PR,GGA1
SORT1,GGA1
ARF3,GGA1
SORL1,GGA1
GGA2,GGA1
BACE1,GGA1
IGF2R,GGA1
CCDC91,GGA1
GGA3,GGA1
ARF1,GGA1
UBC,GGA1
RABEP1,GGA1
CLTC,GGA1
M6PR,IGF2
CTSG,IGF2
GZMH,IGF2
MMP2,IGF2
VTN,IGF2
IGFBP2,IGF2
IGFBP5,IGF2
CDH1,IGF2
CILP,IGF2
CTCF,IGF2
IDE,IGF2
IGFBP4,IGF2
IGFBP1,IGF2
KLK1,IGF2
IGFBP6,IGF2
INSR,IGF2
CTNNA1,IGF2
IRS1,IGF2
F2,IGF2
PLG,IGF2
KLK2,IGF2
KLK3,IGF2
MMP1,IGF2
PAPPA,IGF2
CTNNB1,IGF2
IGF2R,IGF2
PAPPA2,IGF2
FCGR1A,IGF2
IGFBP3,IGF2
GPC3,IGF2
INS,IGF2
CTNND1,IGF2
NTRK1,IGF2
KLK13,IGF2
M6PR,REN
FGF23,REN
ACE,REN
CYP11B2,REN
KLK4,REN
NR3C2,REN
AGT,REN
AGTR2,REN
ATP6AP2,REN
EDN1,REN
RENBP,REN
POMC,REN
ACE2,REN
AGTR1,REN
VDR,REN
M6PR,GGA3
CLTA,GGA3
EREG,GGA3
RPS27A,GGA3
ARF6,GGA3
CLTB,GGA3
GGA2,GGA3
ARFGAP1,GGA3
BACE1,GGA3
GGA1,GGA3
IGF2R,GGA3
RAB4B,GGA3
RAB4A,GGA3
COPA,GGA3
ARF1,GGA3
UBC,GGA3
RABEP1,GGA3
M6PR,PLIN3
CHMP4B,PLIN3
PRKAB1,PLIN3
TSG101,PLIN3
PRKAB2,PLIN3
CHMP2B,PLIN3
VPS37B,PLIN3
PRKAG2,PLIN3
CHMP4C,PLIN3
UBAP1,PLIN3
VPS37C,PLIN3
CHMP6,PLIN3
VPS37A,PLIN3
VPS37D,PLIN3
PRKAG1,PLIN3
CHMP4A,PLIN3
MVB12A,PLIN3
IGF2R,PLIN3
MVB12B,PLIN3
VPS28,PLIN3
RHOBTB3,PLIN3
CHMP7,PLIN3
PRKAG3,PLIN3
HSPA8,PLIN3
GFAP,PLIN3
CHMP2A,PLIN3
FKBP4,DYNLL2
RB1CC1,DYNLL2
PRKAB1,DYNLL2
NR3C1,DYNLL2
PRKAB2,DYNLL2
DYNC1LI2,DYNLL2
DYNC1LI1,DYNLL2
DYNLT5,DYNLL2
PRKAG2,DYNLL2
DYNLRB2,DYNLL2
DYNC1I1,DYNLL2
PRKAG1,DYNLL2
DYNLT2B,DYNLL2
ULK1,DYNLL2
PGR,DYNLL2
HSP90AA1,DYNLL2
ATG101,DYNLL2
PRKAA1,DYNLL2
BMF,DYNLL2
DYNC1H1,DYNLL2
DYNLRB1,DYNLL2
NR3C2,DYNLL2
RAB3GAP2,DYNLL2
DYNLT2,DYNLL2
DYNLT1,DYNLL2
PRKAA2,DYNLL2
HSP90AB1,DYNLL2
DYNC2I2,DYNLL2
AR,DYNLL2
DYNLT3,DYNLL2
STRN4,DYNLL2
DYNLL1,DYNLL2
MAPK8,DYNLL2
DYNC1I2,DYNLL2
PAFAH1B1,DYNLL2
MYO5A,DYNLL2
DYNC2I1,DYNLL2
PRKAG3,DYNLL2
RAB3GAP1,DYNLL2
ATG13,DYNLL2
DYNC2LI1,DYNLL2
RAB18,DYNLL2
PTGES3,DYNLL2
FKBP4,MAPK1
PPP5C,MAPK1
FGF4,MAPK1
FGF20,MAPK1
FGF22,MAPK1
MAPK12,MAPK1
IL2RB,MAPK1
NFKBIA,MAPK1
TSC2,MAPK1
PPP2CB,MAPK1
TGFB1,MAPK1
ERF,MAPK1
HGF,MAPK1
RPS6KB1,MAPK1
DUSP3,MAPK1
NFKB1,MAPK1
IL2,MAPK1
FGF6,MAPK1
CDKN1B,MAPK1
MAPK14,MAPK1
NR3C1,MAPK1
GORASP2,MAPK1
FGF23,MAPK1
DUSP1,MAPK1
EGR1,MAPK1
DUSP4,MAPK1
TNFSF10,MAPK1
S1PR4,MAPK1
CAPNS1,MAPK1
PIN1,MAPK1
YWHAH,MAPK1
MKNK2,MAPK1
RAF1,MAPK1
RARA,MAPK1
KRAS,MAPK1
KLB,MAPK1
HNF1A,MAPK1
ITGAV,MAPK1
PEBP1,MAPK1
CDH1,MAPK1
GNB5,MAPK1
DAPK2,MAPK1
SMAD2,MAPK1
GNAO1,MAPK1
RAB2A,MAPK1
RPS6KA6,MAPK1
MAP2K2,MAPK1
GAB1,MAPK1
MAPK3,MAPK1
PLD2,MAPK1
PRKCQ,MAPK1
PRKCG,MAPK1
AKT3,MAPK1
SLC9A1,MAPK1
ATF2,MAPK1
YWHAE,MAPK1
FGF2,MAPK1
STAT3,MAPK1
FGF10,MAPK1
PRKAR2A,MAPK1
PRKAR2B,MAPK1
CDK2,MAPK1
RB1,MAPK1
PXN,MAPK1
FGF7,MAPK1
IQGAP1,MAPK1
TP53,MAPK1
RASA1,MAPK1
FGF18,MAPK1
EGFR,MAPK1
DUSP6,MAPK1
GJA1,MAPK1
PTPRR,MAPK1
BRAF,MAPK1
DUSP2,MAPK1
NCF1,MAPK1
FGFR4,MAPK1
STAT5B,MAPK1
NCKAP1L,MAPK1
FGF19,MAPK1
CAPN2,MAPK1
MITF,MAPK1
ABI2,MAPK1
CSF2,MAPK1
ARF6,MAPK1
TSC1,MAPK1
DUSP16,MAPK1
CCL11,MAPK1
MAP2K1,MAPK1
BCL2L1,MAPK1
IGF1,MAPK1
PPID,MAPK1
IRS1,MAPK1
S1PR1,MAPK1
CEBPB,MAPK1
PRKCE,MAPK1
FOS,MAPK1
YWHAG,MAPK1
SDC2,MAPK1
CYCS,MAPK1
RPS6KB2,MAPK1
F2,MAPK1
MRPL11,MAPK1
PTPN7,MAPK1
TERT,MAPK1
PRKACA,MAPK1
CASP3,MAPK1
FGF5,MAPK1
PLA2G1B,MAPK1
GH1,MAPK1
GNAI2,MAPK1
KHDRBS1,MAPK1
BAIAP2,MAPK1
MET,MAPK1
PKM,MAPK1
FGF8,MAPK1
PPP2R1A,MAPK1
PGR,MAPK1
MYT1,MAPK1
PRKCH,MAPK1
SP1,MAPK1
CASP9,MAPK1
PTP4A3,MAPK1
RARB,MAPK1
SMAD3,MAPK1
GH2,MAPK1
BSG,MAPK1
RPS6KA4,MAPK1
FGF3,MAPK1
WASF3,MAPK1
HSP90AA1,MAPK1
LCK,MAPK1
FGFR3,MAPK1
EIF4EBP1,MAPK1
MAPT,MAPK1
PTPN11,MAPK1
SFN,MAPK1
PTK2,MAPK1
STAT5A,MAPK1
ERBB4,MAPK1
GNAI1,MAPK1
JAK1,MAPK1
ESR2,MAPK1
PDPK1,MAPK1
IKZF3,MAPK1
MAP2K3,MAPK1
DUSP9,MAPK1
FYN,MAPK1
RAC1,MAPK1
ELK4,MAPK1
CASP8,MAPK1
PTPN5,MAPK1
FGF17,MAPK1
RXRG,MAPK1
ETS2,MAPK1
MYLK,MAPK1
NCKAP1,MAPK1
STAT1,MAPK1
NRG2,MAPK1
GAB2,MAPK1
AGT,MAPK1
DUSP10,MAPK1
MAPKAPK2,MAPK1
PLA2G4A,MAPK1
NCF2,MAPK1
BLZF1,MAPK1
F11R,MAPK1
PEA15,MAPK1
IL6R,MAPK1
NGF,MAPK1
NRAS,MAPK1
DUSP5,MAPK1
RAP1A,MAPK1
GNAI3,MAPK1
PRKACB,MAPK1
JUN,MAPK1
RUNX2,MAPK1
HSP90AB1,MAPK1
MKNK1,MAPK1
NRG3,MAPK1
SDC4,MAPK1
YWHAB,MAPK1
DNM1,MAPK1
ENG,MAPK1
SRC,MAPK1
IL2RG,MAPK1
RXRB,MAPK1
HSPA1A,MAPK1
S1PR3,MAPK1
IRS2,MAPK1
ABI1,MAPK1
SPRY2,MAPK1
PRKACG,MAPK1
PRKCZ,MAPK1
EDN1,MAPK1
FOXO1,MAPK1
RPS6KA3,MAPK1
SMAD9,MAPK1
IL2RA,MAPK1
KL,MAPK1
DUT,MAPK1
SDC1,MAPK1
IL6ST,MAPK1
JAK2,MAPK1
YWHAQ,MAPK1
FGF9,MAPK1
AKT2,MAPK1
GRB2,MAPK1
WASF1,MAPK1
ETS1,MAPK1
PRKAR1A,MAPK1
BCL2L11,MAPK1
BAD,MAPK1
PRKCD,MAPK1
MATK,MAPK1
MAPK8,MAPK1
CXCL12,MAPK1
YWHAZ,MAPK1
NCF4,MAPK1
DUSP8,MAPK1
MBP,MAPK1
BCL2,MAPK1
KSR1,MAPK1
MAP3K1,MAPK1
NRIP1,MAPK1
NCOR2,MAPK1
RELA,MAPK1
NRG1,MAPK1
PPARA,MAPK1
IL6,MAPK1
PRKAR1B,MAPK1
FOXO3,MAPK1
DAPK1,MAPK1
CREB1,MAPK1
RARG,MAPK1
KSR2,MAPK1
PTPN6,MAPK1
JAK3,MAPK1
FGFR1,MAPK1
FGF16,MAPK1
RHOA,MAPK1
SHC1,MAPK1
ARRB2,MAPK1
ESR1,MAPK1
HRAS,MAPK1
PRKCA,MAPK1
ARRB1,MAPK1
FGFR2,MAPK1
CBFB,MAPK1
DUSP7,MAPK1
PPP2R5D,MAPK1
PPP2CA,MAPK1
PPIA,MAPK1
RXRA,MAPK1
LAMTOR3,MAPK1
SMAD1,MAPK1
RPS6KA2,MAPK1
LYN,MAPK1
NTRK1,MAPK1
HSF1,MAPK1
TYK2,MAPK1
BRK1,MAPK1
RPS6KA1,MAPK1
HIF1A,MAPK1
NR4A1,MAPK1
SMAD5,MAPK1
DAPK3,MAPK1
FKBP5,MAPK1
FRS2,MAPK1
APAF1,MAPK1
AKT1,MAPK1
ITGB3,MAPK1
PRRT2,MAPK1
YES1,MAPK1
MAP2K6,MAPK1
VRK3,MAPK1
GNAZ,MAPK1
RPS6KA5,MAPK1
FGF1,MAPK1
CYFIP1,MAPK1
PTGES3,MAPK1
CCL4,MAPK1
MAP3K14,MAPK1
WASF2,MAPK1
GHR,MAPK1
FKBP4,ACTR10
DCTN6,ACTR10
NR3C1,ACTR10
DYNC1LI2,ACTR10
DCTN3,ACTR10
CAPZA1,ACTR10
ACTR1B,ACTR10
DCTN5,ACTR10
PGR,ACTR10
HSP90AA1,ACTR10
DYNC1H1,ACTR10
NR3C2,ACTR10
RAB3GAP2,ACTR10
DCTN1,ACTR10
CAPZA2,ACTR10
ACTR1A,ACTR10
HSP90AB1,ACTR10
AR,ACTR10
DYNC1I2,ACTR10
PAFAH1B1,ACTR10
CAPZB,ACTR10
DCTN2,ACTR10
RAB3GAP1,ACTR10
DCTN4,ACTR10
RAB18,ACTR10
PTGES3,ACTR10
FKBP4,HSP90AB1
CFTR,HSP90AB1
PPP5C,HSP90AB1
MAPK1,HSP90AB1
AHSA1,HSP90AB1
STUB1,HSP90AB1
DCTN6,HSP90AB1
CDC37,HSP90AB1
GAPDH,HSP90AB1
NR3C1,HSP90AB1
HSPE1,HSP90AB1
AHR,HSP90AB1
ACTR10,HSP90AB1
DNAJB1,HSP90AB1
CDK4,HSP90AB1
CCT7,HSP90AB1
DYNC1LI2,HSP90AB1
DCTN3,HSP90AB1
RIPK1,HSP90AB1
ATP5F1B,HSP90AB1
MAPK3,HSP90AB1
CAPZA1,HSP90AB1
AKT3,HSP90AB1
UNC45B,HSP90AB1
TP53,HSP90AB1
ERBB2,HSP90AB1
CALM2,HSP90AB1
DYNC1LI1,HSP90AB1
EGFR,HSP90AB1
CCT6A,HSP90AB1
AIP,HSP90AB1
CCT5,HSP90AB1
HSPB8,HSP90AB1
TOMM70,HSP90AB1
CCT8,HSP90AB1
S100A1,HSP90AB1
CCT3,HSP90AB1
HSPA9,HSP90AB1
NOS3,HSP90AB1
LRRK2,HSP90AB1
CCT2,HSP90AB1
HSP90B1,HSP90AB1
DCTN5,HSP90AB1
HSPA4,HSP90AB1
PPID,HSP90AB1
MOS,HSP90AB1
DNAJA2,HSP90AB1
TCP1,HSP90AB1
CHORDC1,HSP90AB1
DYNC1I1,HSP90AB1
HSPA5,HSP90AB1
PGR,HSP90AB1
CAPZA3,HSP90AB1
HDAC6,HSP90AB1
HSP90AA1,HSP90AB1
NLRP3,HSP90AB1
MAPT,HSP90AB1
ESR2,HSP90AB1
DYNC1H1,HSP90AB1
STIP1,HSP90AB1
VCP,HSP90AB1
DCTN1,HSP90AB1
CAPZA2,HSP90AB1
BAG3,HSP90AB1
ACTR1A,HSP90AB1
TTC4,HSP90AB1
SRC,HSP90AB1
AR,HSP90AB1
FKBPL,HSP90AB1
HSPA1B,HSP90AB1
HSPA1A,HSP90AB1
HSPA1L,HSP90AB1
SUGT1,HSP90AB1
DNAJA1,HSP90AB1
HSPD1,HSP90AB1
DYNLL1,HSP90AB1
CCT4,HSP90AB1
HSPA2,HSP90AB1
DNAJA4,HSP90AB1
DYNC1I2,HSP90AB1
ATP5F1A,HSP90AB1
HSBP1,HSP90AB1
CAPZB,HSP90AB1
ESR1,HSP90AB1
UNC45A,HSP90AB1
DCTN2,HSP90AB1
DCTN4,HSP90AB1
RHOBTB2,HSP90AB1
IKBKB,HSP90AB1
HSF1,HSP90AB1
HSPA8,HSP90AB1
CRYAB,HSP90AB1
HIF1A,HSP90AB1
FKBP5,HSP90AB1
AKT1,HSP90AB1
DYNLL2,HSP90AB1
PTGES3,HSP90AB1
FKBP4,AR
HDAC7,AR
APPBP2,AR
SIRT1,AR
STUB1,AR
DCTN6,AR
CCND1,AR
GAPDH,AR
MAPK14,AR
NR3C1,AR
WDR77,AR
AHR,AR
PIAS1,AR
FOXA1,AR
ACTR10,AR
MDM2,AR
DYNC1LI2,AR
DCTN3,AR
YY1,AR
RCOR1,AR
CREBBP,AR
GNAO1,AR
PRDX1,AR
CAPZA1,AR
EP300,AR
BRD4,AR
KAT2B,AR
PIK3CA,AR
STAT3,AR
CDK6,AR
RB1,AR
PXN,AR
NCOR1,AR
TP53,AR
DYNC1LI1,AR
EGFR,AR
USP12,AR
HOXB13,AR
DCTN5,AR
PELP1,AR
HSPA4,AR
HDAC3,AR
PRKACA,AR
GNAI2,AR
KLK2,AR
KLK3,AR
DYNC1I1,AR
EZH2,AR
RCHY1,AR
GSK3B,AR
CARM1,AR
CAPZA3,AR
MAF,AR
SP1,AR
SMAD3,AR
GNG2,AR
ZMIZ1,AR
HSP90AA1,AR
UXT,AR
HEY1,AR
CAV1,AR
KAT5,AR
STAT5A,AR
SMAD4,AR
GNAI1,AR
PKN1,AR
CTNNB1,AR
MAGEA11,AR
UBE2I,AR
SVIL,AR
DYNC1H1,AR
CASP8,AR
XRCC6,AR
DCTN1,AR
CAPZA2,AR
BECN1,AR
RNASEL,AR
TCF7L2,AR
FLNA,AR
GNAI3,AR
ACTR1A,AR
PRKACB,AR
JUN,AR
RUNX2,AR
HSP90AB1,AR
PTEN,AR
NCOA3,AR
CCND3,AR
ATRX,AR
HDAC1,AR
SRC,AR
GSN,AR
DAXX,AR
HSPA1A,AR
PRKACG,AR
NR0B1,AR
FOXO1,AR
DNAJA1,AR
SHBG,AR
NKX3-1,AR
SUMO1,AR
DYNLL1,AR
ETS1,AR
SPOP,AR
GTF2F1,AR
RNF14,AR
TGFB1I1,AR
CDK1,AR
MAPK8,AR
DYNC1I2,AR
TMPRSS2,AR
KDM1A,AR
NCOR2,AR
NCOA1,AR
BUD31,AR
RAD54L2,AR
KDM3A,AR
FHL2,AR
SMARCA4,AR
TOP2B,AR
NCOA2,AR
CAPZB,AR
PAK6,AR
HRAS,AR
DCTN2,AR
DCTN4,AR
BRCA1,AR
USP26,AR
RACK1,AR
PIK3R1,AR
HSPA8,AR
HIF1A,AR
FKBP5,AR
RAN,AR
AKT1,AR
PAK6,AR
NCOA4,AR
SNURF,AR
CDK11B,AR
PIAS2,AR
DYNLL2,AR
GNAZ,AR
YAP1,AR
GNB1,AR
PTGES3,AR
FKBP4,HSP90AA1
CFTR,HSP90AA1
RPAP3,HSP90AA1
PPP5C,HSP90AA1
MAPK1,HSP90AA1
PDXP,HSP90AA1
ST13,HSP90AA1
RIPK3,HSP90AA1
PSMA3,HSP90AA1
AHSA1,HSP90AA1
CSNK2A1,HSP90AA1
MMP2,HSP90AA1
STUB1,HSP90AA1
AGO2,HSP90AA1
RIPK2,HSP90AA1
DCTN6,HSP90AA1
SGTA,HSP90AA1
CDC37,HSP90AA1
NOD1,HSP90AA1
PPIF,HSP90AA1
RPS6KB1,HSP90AA1
VTN,HSP90AA1
IL2,HSP90AA1
CCND1,HSP90AA1
CDKN1B,HSP90AA1
IFNG,HSP90AA1
GAPDH,HSP90AA1
HBEGF,HSP90AA1
TTC1,HSP90AA1
SKP1,HSP90AA1
NR3C1,HSP90AA1
HSPE1,HSP90AA1
DUSP1,HSP90AA1
FLT3,HSP90AA1
AHR,HSP90AA1
LRP1,HSP90AA1
PLCG1,HSP90AA1
EREG,HSP90AA1
PIWIL1,HSP90AA1
IRF1,HSP90AA1
HSPB1,HSP90AA1
RAF1,HSP90AA1
TDRD1,HSP90AA1
FKBP6,HSP90AA1
ACTR10,HSP90AA1
DNAJB1,HSP90AA1
NASP,HSP90AA1
HSPBP1,HSP90AA1
KRAS,HSP90AA1
EIF2S1,HSP90AA1
CDK4,HSP90AA1
MDM2,HSP90AA1
DYNC1LI2,HSP90AA1
HUS1,HSP90AA1
RIPK1,HSP90AA1
PPIG,HSP90AA1
ITGAV,HSP90AA1
